Date,Open,High,Low,Close,Adj Close,Volume,Name
2015-10-19,10.752331,10.752331,9.578292999999999,9.618977000000001,9.333648,2721200,HPE
2015-10-20,9.444614,9.839835,9.444614,9.804963,9.514118,1220800,HPE
2015-10-21,10.025822,10.083942,9.531796,9.578292999999999,9.294169,135200,HPE
2015-10-22,9.711969999999999,9.90958,9.438803,9.851460000000001,9.559235000000001,189200,HPE
2015-10-23,10.025822,10.025822,9.793339,9.880519999999999,9.587432000000002,102900,HPE
2015-10-26,9.944453,9.944453,9.479486999999999,9.54342,9.260332,885600,HPE
2015-10-27,9.624789,9.735218,9.066831,9.142387,8.871196000000001,1094200,HPE
2015-10-28,9.241192,9.502735000000001,9.209226,9.462050999999999,9.181377000000001,509700,HPE
2015-10-29,9.305125,9.456239,9.03777,9.270252000000001,8.995268,499600,HPE
2015-10-30,9.241192,9.357433,8.555368,8.555368,8.301589,4214100,HPE
2015-11-02,8.712294,8.816911,8.055530000000001,8.42169,8.171877,70312600,HPE
2015-11-03,8.177584,8.549555999999999,7.9480070000000005,8.346133,8.098561,69176300,HPE
2015-11-04,8.363569,8.433314,7.910228,7.939289,7.703784,54241800,HPE
2015-11-05,7.927664,8.072967,7.625437,7.718430000000001,7.489477000000001,38179900,HPE
2015-11-06,7.660309,8.415878,7.642873,8.369382,8.121119,51702600,HPE
2015-11-09,8.288013000000001,8.415878,8.212456,8.25314,8.008327,30158000,HPE
2015-11-10,8.212456,8.39263,8.142711,8.375194,8.126759,25426000,HPE
2015-11-11,8.25314,8.317072999999999,8.189207000000001,8.200830999999999,7.957569,18942200,HPE
2015-11-12,8.026469,8.032282,7.898604,7.962536999999999,7.726342999999999,35050600,HPE
2015-11-13,7.910228,7.997408999999999,7.642873,7.782361999999999,7.551513000000001,25678400,HPE
2015-11-16,7.770739,7.910228,7.637061,7.77655,7.545874,23712100,HPE
2015-11-17,7.77655,7.840483,7.625437,7.6835580000000006,7.455639,21370500,HPE
2015-11-18,7.834671000000001,7.979972999999999,7.665539999999999,7.927664,7.692504,22402400,HPE
2015-11-19,7.863731,8.072967,7.85792,8.009033,7.77146,22662200,HPE
2015-11-20,8.009033,8.503059,7.950912,8.258952,8.013966,31932300,HPE
2015-11-23,8.235704,8.258952,7.88698,8.049717999999999,7.810938,26354200,HPE
2015-11-24,7.892792,8.151428999999998,7.846295,7.956725,7.720703,41484100,HPE
2015-11-25,8.084589999999999,8.636737,8.043906,8.206644,7.963210000000001,39017100,HPE
2015-11-27,8.206644,8.508871000000001,8.165958999999999,8.340322,8.092921,10395000,HPE
2015-11-30,8.270576,8.718106,8.241516,8.636737,8.380543,50075500,HPE
2015-12-01,8.648361,9.229567999999999,8.630925,9.072642,8.803519,43197200,HPE
2015-12-02,8.933152,9.031958,8.64255,8.689046000000001,8.431301,21818500,HPE
2015-12-03,8.718106,8.915716,8.473999000000001,8.497247999999999,8.245192999999999,32527300,HPE
2015-12-04,8.363569,8.889562,8.276388,8.845971,8.583571000000001,20648400,HPE
2015-12-07,8.718106,8.997086,8.671610000000001,8.97965,8.744889,16424400,HPE
2015-12-08,8.770414,8.886656,8.497247999999999,8.816911,8.586404,19988600,HPE
2015-12-09,8.712294,8.944777,8.532119999999999,8.630925,8.405281,24538300,HPE
2015-12-10,8.596052,8.607677,8.444939,8.555368,8.331699,17466200,HPE
2015-12-11,8.712294,8.950589,8.218266999999999,8.241516,8.026054,18265700,HPE
2015-12-14,8.311261,8.427503,8.090403,8.39263,8.173217,19834700,HPE
2015-12-15,8.433314,8.706482000000001,8.418784,8.462375,8.241138000000001,22175600,HPE
2015-12-16,8.497247999999999,8.607677,8.456563000000001,8.543744,8.320381,13490800,HPE
2015-12-17,8.491435000000001,8.555368,8.264764999999999,8.317072999999999,8.099634,13118600,HPE
2015-12-18,8.293825,8.360663,8.136899,8.229892,8.014733,33271400,HPE
2015-12-21,8.206644,8.369382,8.061342,8.148522999999999,7.935491000000001,16970300,HPE
2015-12-22,8.160147,8.218266999999999,8.090403,8.171771000000001,7.958131,12547100,HPE
2015-12-23,8.247328,8.700669,8.165958999999999,8.665797,8.439242,19359600,HPE
2015-12-24,8.607677,8.816911,8.596052,8.72973,8.501505,3748100,HPE
2015-12-28,8.654173,8.880844,8.613489,8.851784,8.620366,10203800,HPE
2015-12-29,8.886656,8.972094,8.822723,8.834348,8.603386,10797800,HPE
2015-12-30,8.886656,8.997086,8.805287,8.880844,8.648667,10796700,HPE
2015-12-31,8.851784,8.89828,8.776227,8.834348,8.603386,11420500,HPE
2016-01-04,8.700669,8.805287,8.566991999999999,8.793663,8.563766000000001,25940400,HPE
2016-01-05,8.793663,8.863408,8.683233,8.735542,8.507164999999999,17770100,HPE
2016-01-06,8.497247999999999,8.718106,8.433314,8.601865,8.376983000000001,19468100,HPE
2016-01-07,8.427503,8.462375,7.933476,7.968349000000001,7.760027,34143900,HPE
2016-01-08,8.003222000000001,8.148522999999999,7.735866000000001,7.869544,7.663806,28272000,HPE
2016-01-11,7.805611,7.968349000000001,7.596375999999999,7.706805999999999,7.505323,25998800,HPE
2016-01-12,7.759114,7.799799,7.608,7.706805999999999,7.505323,21435500,HPE
2016-01-13,7.759114,7.759114,7.282525,7.41039,7.2166559999999995,30489600,HPE
2016-01-14,7.41039,7.654497,7.352269000000001,7.555692,7.358160000000001,22973700,HPE
2016-01-15,7.323208999999999,7.43945,7.259276,7.288336999999999,7.097794,33849000,HPE
2016-01-19,7.369706,7.427826,7.090725999999999,7.160471,6.973269999999999,22239600,HPE
