DATE,TIME (UTC),ACID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE
1-Jan-10,0102,AIR1,1,HELO,2000,LEX,Green,NO,Lexington,Kentucky
1-Jan-10,0403,ASA513,1,B737,10000,LAX,Green,NO,Los Angeles,California
1-Jan-10,0246,EGF3002,1,E135,7000,LAX,Green,NO,Los Angeles,California
1-Jan-10,0157,EGF3086,1,E135,7000,LAX,Green,NO,Los Angeles,California
1-Jan-10,0258,JBU300,1,A320,12500,SLI,Green,NO,Los Alamitos,California
1-Jan-10,0255,JBU303,1,A320,2000,LGB,Green,NO,Los Angeles,California
1-Jan-10,0857,PD2,1,E120,700,FAT,Green,NO,Fresno,California
1-Jan-10,0044,SKW6083,1,CRJ2,6800,LNK,Green,NO,Lincoln,Nebraska
1-Jan-10,0155,SKW6318,1,E120,1000,LAX,Green,NO,Los Angeles,California
1-Jan-10,0730,SKW6433,1,CRJ2,1000,FAT,Green,NO,Fresno,California
1-Jan-10,0302,SWA3652,1,B737,3000,OAK,Green,NO,Oakland,California
2-Jan-10,0244,BTA2194,1,E145,36000,TBD,Green,NO, Thibodaux,Louisiana
3-Jan-10,0822,ASH9421,1,CRJ9,2500,PHX,Green,NO,Phoenix,Arizona
3-Jan-10,0231,COA1671,1,B733,1000,TUS,Green,NO,Tucson,Arizona
3-Jan-10,0518,DAL1298,1,MD81,2000,PHL,Green,NO,Philadelphia,Pennsylvania
3-Jan-10,0000,EGF2771,2,E135,UNKN,VPS,Green,NO,Eglin AFB,Florida
3-Jan-10,0207,EGF4325,1,E145,800,ORD,Green,NO,Chicago,Illinois
3-Jan-10,0828,FRT753,1,A319,9000,LAX,Green,NO,Los Angeles,California
3-Jan-10,0315,JEM94,1,C750,3000,SGR,Green,NO,Sugar Land (Houston),Texas
3-Jan-10,0606,SKW6430,1,CRJ7,UNKN,SAT,Green,NO,San Antonio,Texas
4-Jan-10,0520,SSX3335,1,DH8D,11000,ALB,Green,NO,Albany,New York
5-Jan-10,0309,AAL1543,1,MD81,5200,SJC,Red,NO,San Jose,California
5-Jan-10,0049,BTA2901,1,E45X,FL300,TBD,Green,NO, Thibodaux,Louisiana
5-Jan-10,0341,N725BH,1,PA31,3800,TUS,Green,NO,Tucson,Arizona
5-Jan-10,0700,SKW6284,1,E120,1100,LAX,Green,NO,Los Angeles,California
