01-Jan-12,150,ASQ4261,1,E145,9500,IAH,Green,NO,Houston,Texas
01-Jan-12,200,SWA501,1,B737,11000,PVU,Green,NO,Provo,Utah
01-Jan-12,236,FFT573,1,A319,12500,PVU,Green,NO,Provo,Utah
01-Jan-12,314,SKW483C,1,E120,3600,BFL,Green,NO,Bakersfield,California
01-Jan-12,315,SWA3969,1,B733,2500,MCO,Green,NO,Orlando,Florida
01-Jan-12,333,SWA190,1,B735,6000,GYY,Green,NO,Gary,Indiana
01-Jan-12,357,AAL1106,1,MD82,8000,OKC,Green,NO,Oklahoma City,Oklahoma
01-Jan-12,436,SKW396U,1,CRJ2,5000,SNS,Green,NO,Salinas,California
01-Jan-12,508,WSTCHSTR,1,HELO,1100,LGA,Red,NO,New York,New York
01-Jan-12,547,SWA2102,1,B737,1800,OAK,Green,NO,Oakland,California
01-Jan-12,638,ASH2849,1,DH8B,1800,NYL,Blue,NO,Yuma,Arizona
01-Jan-12,725,CAREFLT7,1,UNKN,UNKN,NYL,Blue,NO,Yuma,Arizona
01-Jan-12,735,N167BB,1,BE9L,1500,NYL,Blue,NO,Yuma,Arizona
01-Jan-12,1750,SWA971,1,B739,10000,SFO,Green,NO,San Francisco,California
01-Jan-12,1911,N323EB,1,C185,1800,SJC,Green,NO,San Jose,California
01-Jan-12,2313,EGF4101,1,E135,6000,SYR,Green,NO,Syracuse,New York
02-Jan-12,129,ASQ4439,1,E45X,FL340,MSY,Green,NO,New Orleans,Louisiana
02-Jan-12,153,N82HR,1,PC12,6500,O42,Green,NO,Woodlake,California
02-Jan-12,255,ASA346,1,B734,5000,OAK,Green,NO,Oakland,California
02-Jan-12,305,N403FR,1,C172,7500,DEN,Green,NO,Denver,Colorado
02-Jan-12,539,FIREBD3,1,AS50,1600,PHX,Green,NO,Phoenix,Arizona
02-Jan-12,2258,TRS492,1,B737,4000,ANP,Green,NO,Annapolis,Maryland
03-Jan-12,204,ASH3787,1,CRJ2,5000,NYG,Green,NO,Quantico,Virginia
03-Jan-12,307,AWE711,1,A321,6500,LAX,Green,NO,Los Angeles,California
03-Jan-12,452,UAL240,1,B752,3600,LAX,Green,*NO,Los Angeles,California
03-Jan-12,510,TNO1300,1,A30B,3500,LAX,UNKN,NO,Los Angeles,California
03-Jan-12,531,N428PA,1,P28A,4000,DVT,Green,NO,Phoenix,Arizona
03-Jan-12,608,JNH9,1,CL30,4200,TUS,Green,NO,Tucson,Arizona
03-Jan-12,609,ASH2834,1,CRJ9,4200,TUS,Green,NO,Tucson,Arizona
03-Jan-12,610,SWA1454,1,B737,4200,TUS,Green,NO,Tucson,Arizona
03-Jan-12,1844,CFEMT,1,LJ36,2000,ORF,Green,NO,Norfolk,Virginia
03-Jan-12,2311,CJC4914,1,DH8D,6300,RDU,Green,NO,Raleigh-Durham,North Carolina
04-Jan-12,35,FDX51,1,DC10,1000,SJU,Green,NO,San Juan,Puerto Rico
04-Jan-12,55,ASQ5903,1,E45X,4500,LIT,Green,NO,Little Rock,Arkansas
04-Jan-12,220,N3980A,1,HELO,UNKN,ELP,Blue,NO,El Paso,Texas
04-Jan-12,400,SLIM24,1,C172,FL210,HII,Green,NO,Lake Havasu,Arizona
04-Jan-12,755,TV11,1,AS50,1400,BUR,Green,NO,Burbank,California
04-Jan-12,1047,JLG695,1,BE9L,11000,RNO,Green/Red,NO,Reno,Nevada
04-Jan-12,1047,LN200VT,1,C550,11000,RNO,Green/Red,NO,Reno,Nevada
04-Jan-12,1047,LN700DQ,1,TBM7,7500,RNO,Green,NO,Reno,Nevada
05-Jan-12,0,HAWK305,1,F18,1000,NTU,Green,NO,Virginia Beach,Virginia
05-Jan-12,143,SWA664,1,B737,12000,eca,Green,NO,Linden,California
05-Jan-12,203,AMF1843,1,BE99,9000,SLC,Green,NO,Salt Lake City ,Utah
05-Jan-12,215,JAZZ73,1,UNKN,3000,CMH,Green,NO,Columbus,Ohio
05-Jan-12,226,GLA23F,1,B190,12000,DEN,Blue,NO,Denver,Colorado
05-Jan-12,231,BXR1949,1,C402,5500,MYV,Green,NO,Maryville,California
