,ACID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE,hr_adj,date_time,day_of_week,holidays
2081,VRD236,1,A320,16000,SJC,Green,NO,San Jose,California,4,10-10-09 4:22,Saturday,FALSE
2082,ASA566,1,B737,7000,SMO,Green,NO,Santa Monica,California,5,10-10-09 5:25,Saturday,FALSE
2083,SWA1158,1,B737,4000,PHL,Green,NO,Philadelphia,Pennsylvania,2,10-10-09 2:00,Saturday,FALSE
2084,SKW6433,1,CRJ2,10000,VIS,Green,NO,Visalia,California,2,10-10-09 2:35,Saturday,FALSE
2085,BAW228,1,B763,FL180,ILG,Green,NO,Wilmington,Delaware,1,10-10-09 1:22,Saturday,FALSE
2086,RPA1709,1,E170,2000,COS,Green,NO,Colorado Springs,Colorado,1,10-10-09 1:11,Saturday,FALSE
2087,PDT4474,1,DH8D,4000,PHL,Blue,NO,Philadelphia,Pennsylvania,1,10-10-09 1:50,Saturday,FALSE
2088,AAL1399,1,MD88,7000,ORD,Green,NO,Chicago,Illinois,0,10-10-09 0:50,Saturday,FALSE
2089,DAL2171,1,MD82,4500,DTW,Green,NO,Detroit ,Michigan,23,10-10-09 23:53,Saturday,FALSE
2090,EGF4857,1,AT72,3000,SJU,Green,NO,San Juan,Puerto Rico,0,10-10-09 0:48,Saturday,FALSE
2091,MES3185,1,SF34,5300,MSP,Green,NO,Minneapolis,Minnesota,0,10-10-09 0:51,Saturday,FALSE
2092,LBQ968,1,BE58,1800,AGC,Green,NO,Pittsburgh,Pennsylvania,2,10-10-09 2:43,Saturday,FALSE
2093,JB870,1,A320,3000,SNA,Green,NO,Santa Ana,California,2,10-10-09 2:45,Saturday,FALSE
2094,N76DA,1,C206,3500,HAR,Green,NO,Harrisburg,Pennsylvania,1,10-10-09 1:04,Saturday,FALSE
2095,AAL1012,1,B738,17000,RIC,Green,NO,Richmond,Virginia,3,10-10-09 3:10,Saturday,FALSE
2096,N2900Y,1,C182,6000,SBJ,Green,NO,Solberg,New Jersey,3,10-10-09 3:24,Saturday,FALSE
2097,FIV550,1,C56X,5000,SBJ,Green,NO,Solberg,New Jersey,3,10-10-09 3:25,Saturday,FALSE
2098,TCF7546,1,E170,10000,SDF,Green,NO,Louisville,Kentucky,3,10-10-09 3:04,Saturday,FALSE
2099,SWA3091,1,B737,3500,FLL,Green,NO,Fort Lauderdale,Florida,2,10-10-09 2:55,Saturday,FALSE
2100,FFT652,1,A319,12000,HOP,Green,NO,Hopkinsville,Kentucky,3,10-10-09 3:51,Saturday,FALSE
2101,UAL933,1,A319,13000,OKV,Green,NO,Winchester,Virginia,5,10-10-10 5:40,Sunday,FALSE
2102,HAL397,1,B712,1500,HNL,Green,NO,Honolulu,Hawaii,8,10-10-10 8:35,Sunday,FALSE
2103,HAL324,1,B712,3500,HNL,Green,NO,Honolulu,Hawaii,10,10-10-10 10:03,Sunday,FALSE
2104,HAL515,1,B712,UNKN,HNL,Green,NO,Honolulu,Hawaii,9,10-10-10 9:57,Sunday,FALSE
2105,N211MJ,1,M20P,UNKN,SMX,Green,NO,Santa Maria,California,2,10-10-10 2:59,Sunday,FALSE
2106,SWA1430,1,B733,6000,GYY,Green,NO,Gary ,Indiana,0,10-10-10 0:20,Sunday,FALSE
2107,EGF4531,1,E135,FL240,LOZ,Green,NO,London,Kentucky,1,10-10-10 1:20,Sunday,FALSE
2108,AWI3646,1,CRJ2,1500,PHL,Green,NO,Philadelphia,Pennsylvania,1,10-10-10 1:49,Sunday,FALSE
2109,FX1,1,B206,1400,AML,Green,NO,Herndon,Virginia,2,10-10-10 2:32,Sunday,FALSE
2110,CALSTAR70,1,CH20,1000,SAC,Green,NO,Sacramento,California,3,10-10-10 3:32,Sunday,FALSE
2111,UAL691,1,A319,7000,ORD,Green,NO,Chicago,Illinois,0,10-10-11 0:28,Monday,TRUE
2112,CLNIC2,1,S76,2400,CAK,Green,NO,Akron,Ohio,0,10-10-11 0:21,Monday,TRUE
2113,CJC9534,1,SF34,1500,IAH,Green,NO,Houston,Texas,1,10-10-11 1:10,Monday,TRUE
2114,GLA179,1,B190,FL220,FLG,Green,NO,Flagstaff,Arizona,2,10-10-11 2:38,Monday,TRUE
2115,AAY427,1,MD88,8000,BLD,Green,NO,Boulder City,Nevada,2,10-10-11 2:34,Monday,TRUE
2116,FDX1365,1,DC10,FL200,GVT,Green,NO,Greenville,Texas,4,10-10-12 4:21,Tuesday,FALSE
2117,AAL403,1,MD82,7000,TUS,Green,NO,Tucson,Arizona,4,10-10-12 4:19,Tuesday,FALSE
2118,EGF3019,1,E135,16000,VIS,Green,NO,Visalia,California,5,10-10-12 5:00,Tuesday,FALSE
2119,SWA114,1,B737,1200,OAK,Green,NO,Oakland,California,4,10-10-12 4:54,Tuesday,FALSE
2120,FDX1864,1,B752,4000,LAS,Green,NO,Las Vegas,Nevada,10,10-10-12 10:05,Tuesday,FALSE
2121,TRS830,1,B712,10000,JYO,Green,NO,Leesburg,Virginia,23,10-10-12 23:50,Tuesday,FALSE
2122,N118EC,1,B06,500,SJU,Green,NO,San Juan,Puerto Rico,0,10-10-12 0:58,Tuesday,FALSE
2123,AAL1069,2,MD82,3000,DAL,Green,NO,Dallas,Texas,1,10-10-12 1:06,Tuesday,FALSE
2124,N741SK,1,UNKN,1500,FL60,Green,NO,Green Cove Springs,Florida,23,10-10-12 23:50,Tuesday,FALSE
2125,UPS557,1,B757,15000,PHL,Green,NO,Philadelphia,Pennsylvania,4,10-10-13 4:10,Wednesday,FALSE
2126,FDX1684,1,MD11,9000,FXE,Green,NO,Fort Lauderdale,Florida,4,10-10-13 4:34,Wednesday,FALSE
2127,METRO2,1,C172,1500,RIC,Green,NO,Richmond,Virginia,4,10-10-13 4:48,Wednesday,FALSE
2128,CLINIC1,1,UH60,3000,CAK,Green,NO,Akron,Ohio,4,10-10-13 4:52,Wednesday,FALSE
2129,UPS983,1,B757,5000,ONT,Green,NO,Ontario,California,5,10-10-13 5:23,Wednesday,FALSE
2130,N825JW,1,C560,3000,VNY,Green,NO,Van Nuys,California,6,10-10-13 6:15,Wednesday,FALSE
2131,ABX1920,1,B762,FL310,ENI,Green,NO,Ukiah,California,11,10-10-13 11:38,Wednesday,FALSE
2132,TRS752,1,B712,UNKN,BWI,Green,NO,Baltimore,Maryland,22,10-10-13 22:57,Wednesday,FALSE
2133,LJY824,1,C550,12000,MMJ,Green,NO,Pittsburgh,Pennsylvania,1,10-10-13 1:04,Wednesday,FALSE
2134,MES3149,1,SF34,12000,ATW,Green,NO,Appleton,Wisconsin,1,10-10-13 1:30,Wednesday,FALSE
2135,NKS816,1,A319,5000,DCA,Green,NO,Washington,District of Columbia,2,10-10-13 2:01,Wednesday,FALSE
2136,BTA2882,1,E145,8000,ARD,Green,NO,Yardley,Pennsylvania,2,10-10-13 2:34,Wednesday,FALSE
2137,COA421,1,B738,8000,SJC,Green,NO,San Jose,California,3,10-10-13 3:48,Wednesday,FALSE
2138,ASA111,1,B737,23000,SEA,Green,NO,Seattle,Washington,3,10-10-13 3:53,Wednesday,FALSE
2139,N235GW,1,C172,7000,UT44,Green,NO,Layton,Utah,3,10-10-13 3:56,Wednesday,FALSE
2140,SWA1627,1,B737,4000,OAK,Green,NO,Oakland,California,5,10-10-14 5:33,Thursday,FALSE
2141,SKW6433,1,CRJ7,9000,HJO,Green,NO,Hanford,California,6,10-10-14 6:52,Thursday,FALSE
2142,LXJ824,1,C550,5000,AGC,Green,NO,Pittsburgh,Pennsylvania,23,10-10-14 23:37,Thursday,FALSE
2143,AAL1731,1,MD83,6000,AUS,Green,NO,Austin,Texas,0,10-10-14 0:33,Thursday,FALSE
2144,BARON7754,1,C206,4500,AUS,Green,NO,Austin,Texas,2,10-10-14 2:00,Thursday,FALSE
2145,N412SM,1,UNKN,5700,GJT,UNKN,NO,Grand Junction,Colorado,2,10-10-14 2:00,Thursday,FALSE
2146,N730LM,1,FA50,8000,APA,Green,NO,Denver,Colorado,2,10-10-14 2:08,Thursday,FALSE
2147,BTA2411,1,E45X,FL330,DAS,Green,NO,Daisetta,Texas,2,10-10-14 2:50,Thursday,FALSE
2148,AAL590,1,B738,3000,ORD,Green,NO,Chicago,Illinois,3,10-10-14 3:55,Thursday,FALSE
2149,UNKN,1,C130,4000,56NY,Green,NO,Kendall,New York,0,10-10-15 0:15,Friday,FALSE
2150,JBU307,1,A320,UNKN,LGB,Green,NO,Long Beach,California,2,10-10-15 2:58,Friday,FALSE
2151,SWA515,1,B733,7500,SEA,Green,NO,Seattle,Washington,13,10-10-15 13:25,Friday,FALSE
2152,SWA339,1,B737,200,MDW,Green,NO,Chicago,Illinois,0,10-10-15 0:29,Friday,FALSE
2153,AAL2574,1,B738,6000,ATL,Green,NO,Atlanta,Georgia,0,10-10-15 0:30,Friday,FALSE
2154,AAL358,1,MD82,1600,LGA,Green,NO,New York City,New York,0,10-10-15 0:50,Friday,FALSE
2155,BTA2999,1,E145,UNKN,VWV,Green,NO,Waterville,Ohio,1,10-10-15 1:22,Friday,FALSE
2156,DAL721,1,MD88,12000,ATL,Green,NO,Atlanta,Georgia,2,10-10-15 2:49,Friday,FALSE
2157,SWA1747,1,B737,1800,SEA,Green,NO,Seattle,Washington,2,10-10-15 2:50,Friday,FALSE
2158,CGC9558,1,SF34,2000,K52,Green,NO,Monroe City ,Missouri,2,10-10-15 2:58,Friday,FALSE
2159,PGX217,1,C208,6000,LBB,Green,NO,Lubbock,Texas,3,10-10-15 3:13,Friday,FALSE
2160,LN862NC,1,B206,2000,FAY,Green,NO,Fayetteville ,North Carolina,3,10-10-15 3:50,Friday,FALSE
2161,USC142,1,PA31,6000,HFD,Green,NO,Hartford,Connecticut,4,10-10-16 4:45,Saturday,FALSE
2162,AAL9456,1,B752,4000,BHM,Green,NO,Birmingham,Alabama,2,10-10-16 2:27,Saturday,FALSE
2163,SWA2926,1,B737,5000,OMA,Green,NO,Omaha,Nebraska,3,10-10-16 3:28,Saturday,FALSE
2164,AAL2734,1,MD81,6000,ORD,Green,NO,Chicago,Illinois,3,10-10-16 3:37,Saturday,FALSE
2165,MT4,1,H500,2100,LAS,Green,NO,Las Vegas,Nevada,10,10-10-16 10:00,Saturday,FALSE
2166,AAL850,1,B737,2500,IAD,Green,NO,Washington,District of Columbia,3,10-10-16 3:17,Saturday,FALSE
2167,LFLT1,1,A109,1500,BGR,Green,NO,Bangar,Maine,4,10-10-17 4:19,Sunday,FALSE
2168,N35K,1,UNKN,1500,HNL,Green,NO,Honolulu,Hawaii,8,10-10-17 8:32,Sunday,FALSE
2169,TCF5973,1,E170,FL320,PA69,Green,NO,Dillsburg,Pennsylvania,0,10-10-17 0:17,Sunday,FALSE
2170,N690PC,1,AC90,4000,TRI,Green,NO,Bristol/Johnson/Kingsport,Tennessee,0,10-10-17 0:18,Sunday,FALSE
2171,COA24,1,B752,6000,LGA,Green,NO,New York City,New York,0,10-10-17 0:21,Sunday,FALSE
2172,EGF4696,1,E135,17000,BDR,Green,NO,Bridgeport,Connecticut,0,10-10-17 0:23,Sunday,FALSE
2173,AAL1189,1,MD82,3500,DFW,Green,No,Dallas-Fort Worth,Texas,0,10-10-17 0:35,Sunday,FALSE
2174,SKW6751,1,CRJ2,16000,ENW,Green,NO,Kenosha,Wisconsin,2,10-10-17 2:21,Sunday,FALSE
2175,POLICE1,1,Helo,600,SNA,Red,NO,Santa Ana,California,2,10-10-17 2:48,Sunday,FALSE
2176,SWA152,1,B737,6800,LAS,Green,NO,Las Vegas,Nevada,7,10-10-18 7:01,Monday,FALSE
2177,WJA1865,1,B738,600,HNL,Green,NO,Honolulu,Hawaii,9,10-10-18 9:00,Monday,FALSE
2178,COA685,1,B739,3000,TEB,Green,NO,Teterboro,New Jersey,9,10-10-18 9:03,Monday,FALSE
2179,AWI3709,1,CRJ2,1500,PHL,Green,NO,Philadelphia,Pennsylvania,0,10-10-18 0:54,Monday,FALSE
2180,AAL1708,1,B738,7000,ORD,Green,NO,Chicago,Illinois,2,10-10-18 2:05,Monday,FALSE
2181,ASA894,1,B738,5000,SJC,Green,NO,San Jose,California,2,10-10-18 2:10,Monday,FALSE
2182,N30DD,1,RV6,4500,SJC,Green,NO,San Jose,California,2,10-10-18 2:11,Monday,FALSE
2183,AAY552,1,MD83,5000,LAS,Green,NO,Las Vegas,Nevada,3,10-10-18 3:00,Monday,FALSE
2184,CTA307,1,C208,4500,PHX,Green,NO,Phoenix,Arizona,4,10-10-19 4:16,Tuesday,FALSE
2185,ABX102,1,B762,15600,BYP,Green,NO,Bonham,Texas,4,10-10-19 4:41,Tuesday,FALSE
2186,N5241Q,1,C152,4500,GVT,Green,NO,Greenville,Texas,4,10-10-19 4:55,Tuesday,FALSE
2187,HAL595,1,B712,900,HNL,Green,NO,Honolulu,Hawaii,7,10-10-19 7:40,Tuesday,FALSE
2188,TRS442,1,B737,UNKN,BWI,Green,NO,Baltimore,Maryland,23,10-10-19 23:41,Tuesday,FALSE
2189,EGF4028,1,E145,2200,ORD,Green,NO,Chicago,Illinois,23,10-10-19 23:54,Tuesday,FALSE
2190,BTA5875,1,E145,500,ORD,Green,NO,Chicago,Illinois,0,10-10-19 0:20,Tuesday,FALSE
2191,UPS781,1,B752,4000,SAT,Green,NO,San Antonio,Texas,1,10-10-19 1:50,Tuesday,FALSE
2192,AAL1701,1,B737,UNKN,ORD,Green,NO,Chicago,Illinois,2,10-10-19 2:05,Tuesday,FALSE
2193,BTA5817,1,E145,FL190,HGR,Green,NO,Hagertown,Maryland,2,10-10-19 2:12,Tuesday,FALSE
2194,N722XJ,1,C750,FL290,LXV,Green,NO,Leadville,Colorado,2,10-10-19 2:26,Tuesday,FALSE
2195,SKW6987,1,CRJ7,5000,OG20,Green,NO,Portland,Oregon,2,10-10-19 2:35,Tuesday,FALSE
2196,XTNDR23,1,DC10,FL220,FOT,Green,NO,Fortuna,California,2,10-10-19 2:41,Tuesday,FALSE
2197,JBU488,1,A320,1700,LGB,Green,NO,Long Beach,California,4,10-10-20 4:18,Wednesday,FALSE
2198,UNKN,1,UNKN,1000,SRQ,Red,NO,Sarasota,Florida,5,10-10-20 5:51,Wednesday,FALSE
2199,C2303,1,CN35,2500,MOB,Green,NO,Mobile,Alabama,0,10-10-20 0:12,Wednesday,FALSE
2200,BTA2209,1,E145,6000,HPY,Green,NO,Baytown,Texas,1,10-10-20 1:15,Wednesday,FALSE
2201,UPS781,1,B757,6000,SAT,Green,NO,San Antonio,Texas,1,10-10-20 1:30,Wednesday,FALSE
2202,BVN7751,1,C208,4000,AUS,Green,NO,Austin,Texas,1,10-10-20 1:40,Wednesday,FALSE
2203,SWA658,1,B737,5000,PDX,Green,NO,Portland,Oregon,2,10-10-20 2:55,Wednesday,FALSE
2204,SKW4556,1,CRJ2,11000,TUS,Green,NO,Tucson,Arizona,3,10-10-20 3:37,Wednesday,FALSE
2205,TV9,1,Helo,1300,BUR,Green,NO,Burbank,California,5,10-10-21 5:01,Thursday,FALSE
2206,AAL907,1,B772,2300,MIA,Green,NO,Miami,Florida,8,10-10-21 8:35,Thursday,FALSE
2207,N638QS,1,C56X,200,MIA,Green,NO, Miami,Florida,1,10-10-21 1:40,Thursday,FALSE
2208,SWA493,1,B733,1300,CRP,Green,NO,Corpus Christi,Texas,2,10-10-21 2:05,Thursday,FALSE
2209,RANGR826,1,T34P,UNKN,CRP,Green,NO,Corpus Christi,Texas,2,10-10-21 2:06,Thursday,FALSE
2210,N10WW,1,PA32,4500,HBI,Green,NO,Salisbury,North Carolina,2,10-10-21 2:15,Thursday,FALSE
2211,EGF2774,1,E145,1800,CRP,Green,NO,Corpus Christi,Texas,2,10-10-21 2:20,Thursday,FALSE
2212,AAL1312,1,B738,6000,HFD,Green,NO,Hartford,Connecticut,2,10-10-21 2:22,Thursday,FALSE
2213,JBU1424,1,A320,3800,LGB,Green,NO,Long Beach,California,2,10-10-21 2:54,Thursday,FALSE
2214,CHQ6048,1,E145,4000,PWM,Green,NO,Portland,Maine,3,10-10-21 3:30,Thursday,FALSE
2215,N515BP,1,CL60,6500,HPY,Green,NO,Baytown,Texas,4,10-10-22 4:26,Friday,FALSE
2216,N737CG,1,C172,2500,ORD,Red,NO,Evansville,Indiana,23,10-10-22 23:52,Friday,FALSE
2217,CHQ5024,1,E135,3000,ORD,Green,NO,Chicago,Illinois,0,10-10-22 0:32,Friday,FALSE
2218,TCF7541,1,E170,5500,DPA,Green,NO,Chicago,Illinois,0,10-10-22 0:50,Friday,FALSE
2219,EGF3248,1,E145,3000,FTW,Green,NO,Fort Worth,Texas,1,10-10-22 1:22,Friday,FALSE
2220,AWE1645,1,A319,8000,TPA,Green,NO,Tampa,Florida,1,10-10-22 1:39,Friday,FALSE
2221,TCF7653,1,E170,3600,PIT,Green,NO,Pittsburgh,Pennsylvania,2,10-10-22 2:30,Friday,FALSE
2222,AWE645,1,B733,6000,PHX,Green,NO,Phoenix,Arizona,3,10-10-22 3:16,Friday,FALSE
2223,DAL2189,1,B738,13000,OGD,Green,NO,Ogden,Utah,3,10-10-22 3:19,Friday,FALSE
2224,AAL794,1,B737,9000,ORD,Green,NO,Chicago,Illinois,3,10-10-22 3:20,Friday,FALSE
2225,N126WC,1,C560,2500,MOD,Green,NO,Modesto,California,3,10-10-22 3:34,Friday,FALSE
2226,N765DC,1,DA20,6000,BTF,Green,NO,Bountiful,Utah,5,10-10-23 5:15,Saturday,FALSE
2227,UPS1366,1,A306,2200,BHM,Green,NO,Birmingham,Alabama,9,10-10-23 9:58,Saturday,FALSE
2228,SWA419,1,B737,9000,STL,Green,NO,St. Louis,Missouri,0,10-10-23 0:42,Saturday,FALSE
2229,UAL406,1,A320,4000,JFK,Green,NO,New York City,New York,1,10-10-23 1:26,Saturday,FALSE
2230,UAL691,1,B752,1400,ORD,Green,No,Chicago,Illinois,1,10-10-23 1:58,Saturday,FALSE
2231,AAL2529,1,MD82,2000,MSY,Green,NO,New Orleans,Louisiana,3,10-10-23 3:33,Saturday,FALSE
2232,SKW319Y,1,CRJ2,16000,SLI,Green,NO,Los Alamitos,California,7,10-10-24 7:09,Sunday,FALSE
2233,BTA2685,1,E145,8500,SWF,Green,NO,Newburgh,New York,23,10-10-24 23:18,Sunday,FALSE
2234,AWI4069,1,CRJ2,9000,CHA,Green,NO,Chattanooga,Tennessee,23,10-10-24 23:50,Sunday,FALSE
2235,SWA1513,1,B733,4000,BNA,Green,NO,Nashville,Tennessee,0,10-10-24 0:20,Sunday,FALSE
2236,TRS702,1,B737,5500,FFO,White,NO ,Wright Patterson AFB,Ohio,22,10-10-25 22:30,Monday,FALSE
2237,EAGLE1,1,B06,500,PBI,Green,NO,West Palm Beach,Florida,22,10-10-25 22:50,Monday,FALSE
2238,CJC3473,1,DH8D,6000,SAX,Green,NO,Sparta,New Jersey,23,10-10-25 23:00,Monday,FALSE
2239,EJA984,1,C750,4000,SBJ,Green,NO,Solberg,New Jersey,23,10-10-25 23:16,Monday,FALSE
2240,BTA2144,1,E145,2500,ROC,Green,NO,Rochester,New York,0,10-10-25 0:05,Monday,FALSE
2241,CRTL6,1,EC35,2000,ROC,Green,NO,Rochester,New York,0,10-10-25 0:06,Monday,FALSE
2242,BTA2121,1,E135,5000,IAH,Green,NO,Houston,Texas,0,10-10-25 0:54,Monday,FALSE
2243,DAL1161,1,B737,10000,RIV,Green,NO,Riverside,California,6,10-10-26 6:00,Tuesday,FALSE
2244,IDAHO5,1,C182,2200,SJC,Green,NO,San Jose,California,8,10-10-26 8:43,Tuesday,FALSE
2245,SKW458M,1,E120,FL210,BSR,Green,NO,Big Sur,California,8,10-10-26 8:43,Tuesday,FALSE
2246,N759TN,1,C182,6000,HEE,Green,NO,Helena/West Helena,Arkansas,1,10-10-26 1:17,Tuesday,FALSE
2247,AAL1321,1,B738,FL250,FZT,Green,NO,Frankston,Texas,1,10-10-26 1:31,Tuesday,FALSE
2248,FIV408,1,C25B,4000,OPF,Green,NO,Miami,Florida,1,10-10-26 1:36,Tuesday,FALSE
2249,N302DP,1,GLF4,2000,OPF,Green,NO,Miami,Florida,1,10-10-26 1:36,Tuesday,FALSE
2250,EGF3371,1,E135,16500,DFW,Green,NO,Dallas-Fort Worth,Texas,2,10-10-26 2:00,Tuesday,FALSE
2251,N636FT,1,P28A,2500,BOW,Green,NO,Bartow, Florida,2,10-10-26 2:01,Tuesday,FALSE
2252,USA34,1,A320,2000,LAX,Green,NO,Los Angeles,California,2,10-10-26 2:45,Tuesday,FALSE
2253,BLADE45,1,UH1,UNKN,CYS,Green,NO,Cheyenne,Wyoming,3,10-10-26 3:02,Tuesday,FALSE
2254,N556ER,1,C172,10000,DRK,Green,NO,Prescott,Arizona,3,10-10-26 3:18,Tuesday,FALSE
2255,CJC9583,1,SF34,4000,ACT,Green,NO,Waco,Texas,3,10-10-26 3:32,Tuesday,FALSE
2256,Aerospatiale,1,AS50,5500,TUS,Green,NO,Tucson,Arizona,3,10-10-26 3:40,Tuesday,FALSE
2257,DAL1161,1,MD80,9000,ORF,Green,NO,Norfolk,Virginia,23,10-10-27 23:00,Wednesday,FALSE
2258,N478FJ,1,FA7X,FL250,BUF,Green,NO,Buffalo,New York,4,10-10-27 4:08,Wednesday,FALSE
2259,SWA2954,1,B737,2000,SJC,White,NO,San Jose ,California,4,10-10-27 4:10,Wednesday,FALSE
2260,ASA590,1,B737,3000,SNA,Green,NO,Santa Ana,California,4,10-10-27 4:35,Wednesday,FALSE
2261,BTA5817,1,E415,1500,YNG,Green,NO,Youngstown-Warren,Ohio,5,10-10-27 5:02,Wednesday,FALSE
2262,E33119,1,C17,FL280,CLL,Violet,NO,College Station,Texas,6,10-10-27 6:21,Wednesday,FALSE
2263,CHQ6041,1,E145,50,RIC,Green/White,NO,Richmond,Virginia,0,10-10-27 0:29,Wednesday,FALSE
2264,BTA2739,1,E145,1700,EWR,Green,NO,Newark,New Jersey,1,10-10-27 1:16,Wednesday,FALSE
2265,BTA2492,1,E145,6000,SBJ,Green,NO,Solberg,New Jersey,1,10-10-27 1:34,Wednesday,FALSE
2266,SKW6864,1,CRJ2,7000,ORD,Green/Yellow,NO,Chicago,Illinois,1,10-10-27 1:55,Wednesday,FALSE
2267,JBU547,1,A320,1500,PBI,Green,NO,West Palm Beach,Florida,1,10-10-27 1:55,Wednesday,FALSE
2268,BJS617,1,LJ40,1500,PBI,Green,NO,West Palm Beach,Florida,2,10-10-27 2:02,Wednesday,FALSE
2269,AAL2218,1,B738,7000,ORD,Green/Yellow,NO,Chicago,Illinois,2,10-10-27 2:09,Wednesday,FALSE
2270,BTA5856,1,E145,3000,ORD,Green ,NO,Chicago,Illinois,2,10-10-27 2:58,Wednesday,FALSE
2271,MES3481,1,MD80,UNKN,AUS,Green,NO,Austin,Texas,23,10-10-28 23:48,Thursday,FALSE
2272,N617FX,1,UNKN,2000,PBI,Green,NO,West Palm Beach,Florida,1,10-10-28 1:40,Thursday,FALSE
2273,EGF3639,1,E145,4000,CLT,Green,NO,Charlotte,North Carolina,4,10-10-28 4:04,Thursday,FALSE
2274,SWA584,1,B737,6500,SAN,Green,NO,San Diego,California,4,10-10-28 4:54,Thursday,FALSE
2275,SKW6219,1,CRJ7,10000,LAX,Green,NO,Los Angeles,California,6,10-10-28 6:37,Thursday,FALSE
2276,UAL137,1,A320,10000,LAX ,Green,NO,Los Angeles,California,6,10-10-28 6:38,Thursday,FALSE
2277,N3289Q,1,PA28,2800,RIC,Green,NO,Richmond,Virginia,1,10-10-28 1:50,Thursday,FALSE
2278,AWE16,1,A320,3000,JFK,Green,NO,New York City,New York,2,10-10-28 2:57,Thursday,FALSE
2279,JBU672,1,A320,3000,JFK,Green,NO,New York City,New York,3,10-10-28 3:02,Thursday,FALSE
2280,SKW6433,1,CRJ2,10000,VIS,Green,NO,Visalia,California,8,10-10-29 8:36,Friday,FALSE
2281,N3287Q,1,PA28,2800,RIC,Green,NO,Richmond,Virginia,9,10-10-29 9:24,Friday,FALSE
2282,SWA305,1,B733,3000,HOU,Green,NO,Houston,Texas,9,10-10-29 9:28,Friday,FALSE
2283,CTL15,1,AC50,2500,LUK,Green,NO,Cincinnati,Ohio,9,10-10-29 9:38,Friday,FALSE
2284,EGF4489,1,E135,7000,BOS,Green,NO,Boston,Massachusetts,0,10-10-29 0:09,Friday,FALSE
2285,EJM465,1,CL60,FL280,N51,Green,NO,Solberg,New Jersey,0,10-10-29 0:43,Friday,FALSE
2286,SWA1605,1,B733,13000,STL,Green,NO,St. Louis,Missouri,1,10-10-29 1:29,Friday,FALSE
2287,N415CL,1,H60,2500,ROA,Green,NO,Roanoke,Virginia,1,10-10-29 1:37,Friday,FALSE
2288,AIR2,1,B206,2000,AUS,Green,NO,Austin,Texas,2,10-10-29 2:03,Friday,FALSE
2289,SWA2008,1,B737,1700,BUR,Green,NO,Burbank,California,3,10-10-29 3:23,Friday,FALSE
2290,AWE668,1,B733,10000,1U7,Green,NO,Paris,Idaho,3,10-10-29 3:30,Friday,FALSE
2291,PA4292,1,DHC8,4000,PHL,UNKN,NO,Philadelphia,Pennsylvania,10,10-10-29 10:44,Friday,FALSE
2292,SWA1522,1,B737,8000,AUR,Green,NO,Sulphur,Louisiana,4,10-10-30 4:46,Saturday,FALSE
2293,OMAHA6RE,1,C550,14300,DUG,Green,NO,Douglas/Bisbee,Arizona,6,10-10-30 6:23,Saturday,FALSE
2294,SWA1162,1,B737,8000,MZB,Green,NO,San Diego,California,9,10-10-30 9:26,Saturday,FALSE
2295,UPS1195,1,MD11,4000,SDF,Green,NO,Louisville,Kentucky,9,10-10-30 9:33,Saturday,FALSE
2296,N493TM,1,BE40,14000,STW,Green,NO,Stillwater,New Jersey,23,10-10-30 23:26,Saturday,FALSE
2297,CRZ5641,1,UNKN,7000,AUW,Green,NO,Wausau,Wisconsin,0,10-10-30 0:58,Saturday,FALSE
2298,STAT15,1,BK17,2300,AGC,Green,NO,Pittsburgh,Pennsylvania,1,10-10-30 1:07,Saturday,FALSE
2299,UAL116,1,A319,7000,ORD,Green,NO,Chicago,Illinois,1,10-10-30 1:11,Saturday,FALSE
2300,AAL2094,1,B738,7000,RSW,Green,NO,Fort Myers, Florida,2,10-10-30 2:16,Saturday,FALSE
2301,N680CH,1,HELO,600,TPA,Green,NO,Tampa,Florida,2,10-10-30 2:39,Saturday,FALSE
2302,N523P,1,BE36,6000,DQH,UNKN,NO,Douglas,Georgia,2,10-10-30 2:46,Saturday,FALSE
2303,SWA14,1,B737,4000,AUS,Green,NO,Austin,Texas,3,10-10-30 3:05,Saturday,FALSE
2304,UAL395,1,B737,17500,IPL,Green,NO,Imperial,California,3,10-10-30 3:22,Saturday,FALSE
2305,CENTRAL6,1,HELO,1700,D38,UNKN,NO,Canandaigua,New York,23,10-10-31 23:34,Sunday,FALSE
2306,AAL405,1,B738,UNKN,LAX,Green,NO,Los Angeles,California,7,10-10-31 7:14,Sunday,FALSE
2307,DAL2455,1,B763,7000,LAX,Green,NO,Los Angeles, California,7,10-10-31 7:23,Sunday,FALSE
2308,METRO5,1,UNKN,2300,LAS,Green,NO,Las Vegas,Nevada,11,10-10-31 11:36,Sunday,FALSE
2309,VOLT14,1,C17,3000,ADW,Green,NO,Clinton,Maryland,23,10-10-31 23:11,Sunday,FALSE
2310,EGF284,1,E145,UNKN,SHV,Green,NO,Shreveport,Louisiana,1,10-10-31 1:27,Sunday,FALSE
2311,LOF8020,1,E145,5500,ORD,UNKN,NO,Chicago,Illinois,1,10-10-31 1:30,Sunday,FALSE
2312,N53210,1,C172,3500,TIX,Green,NO,Titusville,Florida,1,10-10-31 1:46,Sunday,FALSE
2313,CHQ5041,1,E135,9000,ARR,Green,NO,Aurora,Illinois,2,10-10-31 2:01,Sunday,FALSE
