,ACID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE,hr_adj,date_time,day_of_week,holidays
54,SKW6699,1,CRJ2,13000,DEN,Green,NO,Denver,Colorado,2,10-01-13 2:54,Wednesday,FALSE
55,TIGER22,1,P3,2000,MYR,Green,NO,Myrtle Beach,South Carolina,0,10-01-13 0:44,Wednesday,FALSE
56,AWE1240,1,B737,6000,PHL,Green,NO,Philadelphia,Pennsylvania,0,10-01-14 0:30,Thursday,FALSE
57,FIV629,1,C680,3000,SAC,Green,NO,Sacramento,California,3,10-01-14 3:37,Thursday,FALSE
58,JENA231,1,UNKN,2500,TMB,Green,NO,Tamiami,Florida,23,10-01-14 23:33,Thursday,FALSE
59,SWA1483,1,B737,2000,SFO,Green,NO,San Francisco,California,4,10-01-14 4:50,Thursday,FALSE
60,TV11,1,AS350,900,LGB,Green,NO,Long Beach,California,6,10-01-14 6:37,Thursday,FALSE
61,BTA3104,1,E45X,1000,IAH,Green,NO,Houston,Texas,2,10-01-15 2:13,Friday,FALSE
62,SKW6049,1,CRJ2,2500,LAX,Green,NO,Los Angeles,California,4,10-01-15 4:43,Friday,FALSE
63,SWA224,1,B733,7000,PHX,Green,NO,Phoenix,Arizona,6,10-01-15 6:21,Friday,FALSE
64,UAL965,1,A320,1000,IAH,Green,NO,Houston,Texas,2,10-01-15 2:15,Friday,FALSE
65,SWA798,1,B737,7000,SJC,Green,NO,San Jose,California,6,10-01-15 6:14,Friday,FALSE
66,UPS1534,1,A306,1800,BHM,Green,NO,Birmingham,Alabama,11,10-01-15 11:07,Friday,FALSE
67,AAL1831,1,B738,6500,MIA,Green,NO,Miami,Florida,3,10-01-16 3:33,Saturday,FALSE
68,JBU425,1,A306,2000,PBI,Green,NO,West Palm Beach,Florida,1,10-01-16 1:00,Saturday,FALSE
69,BTA2134,3,E145,1000,IAH,Green,NO,Houston,Texas,2,10-01-16 2:20,Saturday,FALSE
70,SWA1781,1,B737,7000,SNS,Green,NO,Salinas,California,6,10-01-16 6:32,Saturday,FALSE
71,SWA1999,1,B737,8000,SJC,Green,NO,San Jose,California,2,10-01-16 2:05,Saturday,FALSE
72,SKW649,1,UNKN,2500,LAX,Green,NO,Los Angeles,California,4,10-01-16 4:36,Saturday,FALSE
73,SWA826,1,B737,7000,LAS,Red,NO,Las Vegas,Nevada,4,10-01-16 4:43,Saturday,FALSE
74,SWA9003,1,B737,17000,PTW,Green,NO,Pottstown,Pennsylvania,23,10-01-16 23:10,Saturday,FALSE
75,AAL2055,1,B752,3000,MIA,Green,NO,Miami,Florida,0,10-01-17 0:41,Sunday,FALSE
76,AAY440,1,MD83,4000,FAY,Red,NO,Fayetteville,Arkansas,2,10-01-17 2:03,Sunday,FALSE
77,ASA463,1,B739,1000,SEA,Green,NO,Seattle,Washington,7,10-01-17 7:22,Sunday,FALSE
78,JENA65,1,C208,4000,FAY,Green,NO,Fayetteville,Arkansas,2,10-01-17 2:29,Sunday,FALSE
79,JBU715,1,A320,SFC,JFK,Green,NO,New York City,New York,17,10-01-18 17:31,Monday,TRUE
80,N1243D,1,C208,1000,MOB,Green,NO,Mobile,Alabama,5,10-01-18 5:28,Monday,TRUE
81,SWA2905,1,B737,5000,OAK,Green,NO,Oakland,California,5,10-01-18 5:38,Monday,TRUE
82,SWA396,1,B733,6000,STL,Green,NO,St. Louis,Missouri,2,10-01-18 2:14,Monday,TRUE
83,SWA962,1,B737,8000,PHX,Green,NO,Phoenix,Arizona,2,10-01-18 2:58,Monday,TRUE
84,UAL645,1,B752,4000,ORD,Green,NO,Chicago,Illinois,1,10-01-19 1:16,Tuesday,FALSE
85,FDX991,1,A306,7000,LAX,Green,NO,Los Angeles,California,4,10-01-20 4:53,Wednesday,FALSE
86,A26995,1,UH60,2300,LAX,Green,NO,Killeen,Texas,1,10-01-21 1:45,Thursday,FALSE
87,COA795,1,B738,1300,LAX,Green,NO,Los Angeles,California,2,10-01-21 2:02,Thursday,FALSE
88,PHM003,1,S92,3000,LFT,Green,NO,Lafayette,Louisiana,1,10-01-21 1:05,Thursday,FALSE
89,STAT4,1,EC35,2200,PIT,Green,NO,Pittsburgh,Pennsylvania,0,10-01-21 0:26,Thursday,FALSE
90,UPS805,1,A306,UNKN,DEN,Green,NO,Denver,Colorado,5,10-01-21 5:15,Thursday,FALSE
91,AAL1187,1,MD82,7000,DFW,Green,NO,Dallas-Fort Worth,Texas,2,10-01-22 2:07,Friday,FALSE
92,AAL1530,1,B752,3500,LGA,Green,NO,New York City,New York,23,10-01-22 23:05,Friday,FALSE
93,NWA2538,1,B752,12000,MCO,Green,NO,Orlando,Florida,1,10-01-22 1:18,Friday,FALSE
94,SHARK91,1,C130,1500,SJU,Green,NO,San Juan,Puerto Rico,0,10-01-22 0:21,Friday,FALSE
95,VRD416,1,A320,13000,JFK,Green,NO,New York City,New York,4,10-01-22 4:36,Friday,FALSE
96,AAL657,1,MD82,4000,DFW,Green,NO,Dallas-Fort Worth,Texas,3,10-01-23 3:51,Saturday,FALSE
97,AAY391,1,MD83,1800,LAX,Green,NO,Los Angeles,California,7,10-01-23 7:09,Saturday,FALSE
98,GLA765,1,B190,14000,SBD,Green,NO,San Bernardino,California,4,10-01-23 4:07,Saturday,FALSE
99,N3153Q,1,C182,3000,RSW,Green,NO,Fort Myers,Florida,0,10-01-23 0:52,Saturday,FALSE
100,N5553A,1,C210,3500,RHV,Green,NO,Gilroy,California,3,10-01-23 3:35,Saturday,FALSE
101,SWA765,1,B733,13700,SBD,Green,NO,San Bernardino,California,4,10-01-23 4:20,Saturday,FALSE
102,VNR140,1,P180,2600,PIE,Green,NO,St Petersburg-Clearwater,Florida,2,10-01-23 2:55,Saturday,FALSE
103,HAL361,1,B712,2000,HNL,Green,NO,Honolulu,Hawaii,5,10-01-24 5:25,Sunday,FALSE
104,SURVEY1,1,TCOU,5500,TUS,Green,NO,Tucson,Arizona,9,10-01-24 9:55,Sunday,FALSE
105,EJA337,1,C560,8000,SJC,Green,NO,Santa Clara,California,2,10-01-24 2:24,Sunday,FALSE
106,SSX3577,1,DH8D,6100,SLC,Green,NO,Salt Lake City,Utah,2,10-01-24 2:28,Sunday,FALSE
107,AWE456,1,A319,6100,SLC,Green,NO,Salt Lake City,Utah,2,10-01-24 2:28,Sunday,FALSE
108,ASH2897,1,DH8A,6000,PHX,Green,NO,Phoenix,Arizona,2,10-01-24 2:29,Sunday,FALSE
109,SWA3141,1,B737,10000,SLC,Green,NO,Salt Lake City,Utah,2,10-01-24 2:56,Sunday,FALSE
110,SWA2621,1,B737,12000,BUR,Green,NO,Burbank,California,3,10-01-24 3:09,Sunday,FALSE
111,DAL1193,1,B738,6000,SLC,Green,NO,Salt Lake City,Utah,3,10-01-24 3:26,Sunday,FALSE
112,N6LR,1,C337,3000,LAX,Green,NO,Los Angeles,California,3,10-01-24 3:49,Sunday,FALSE
113,N39704,1,PA44,1000,DAB,Green,NO,Daytona Beach,Florida,0,10-01-25 0:16,Monday,FALSE
114,COA700,1,B738,6000,EWR,Green,NO,Newark,New Jersey,0,10-01-25 0:47,Monday,FALSE
115,SKW5773,1,CRJ2,5500,ICT,Green,NO,Wichita,Kansas,1,10-01-25 1:45,Monday,FALSE
116,,1,Vehicle,SFC,SLC,Green,NO,Salt Lake City,Utah,2,10-01-25 2:47,Monday,FALSE
117,SWA1341,2,B737,10000,SLC,Green,NO,Salt Lake City,Utah,2,10-01-25 2:50,Monday,FALSE
118,BTA2907,1,E145,10000,LFT,Green,NO,Lafayette,Louisiana,2,10-01-26 2:11,Tuesday,FALSE
119,DAL65,1,B763,UNKN,LAS,Green,NO,Las Vegas,Nevada,3,10-01-26 3:01,Tuesday,FALSE
120,FFT773,1,A319,UNKN,LAS ,Green,NO,Las Vegas,Nevada,3,10-01-26 3:02,Tuesday,FALSE
121,SKW6650,1,E120,7000,MOD,Green,NO,Modesto,California,6,10-01-26 6:06,Tuesday,FALSE
122,N8310J,1,C150,1300,SEA,Green,NO,Seattle,Washington,5,10-01-27 5:34,Wednesday,FALSE
123,CHQ5065,1,E135,4000,STL,Green,NO,St. Louis,Missouri,0,10-01-27 0:55,Wednesday,FALSE
124,BTA3156,1,E145,36000,TBD,Green,NO, Thibodaux,Louisiana,1,10-01-27 1:23,Wednesday,FALSE
125,UAL698,1,B752,1500,IAH,Green,NO,Houston,Texas,3,10-01-27 3:12,Wednesday,FALSE
126,CHASE5,1,B206,700,MCO,Green,NO,Orlando,Florida,7,10-01-28 7:02,Thursday,FALSE
127,VVTS404,1,UH60,4000,SAN,Green,NO,San Diego,California,2,10-01-28 2:23,Thursday,FALSE
128,NKS678,1,A319,12000,RSW,Green/ Blue,NO,Fort Myers,Florida,2,10-01-28 2:36,Thursday,FALSE
129,SKW6519,1,CRJ2,UNKN,SJC,Green,NO,San Jose,California,4,10-01-28 4:01,Thursday,FALSE
130,N6720T,1,BE76,5000,TOA,Green,NO,Torrance,California,4,10-01-28 4:51,Thursday,FALSE
131,HAL22,1,B763,4000,SEA,Green,NO,Seattle,Washington,6,10-01-29 6:25,Friday,FALSE
132,ASA245,1,B738,9000,PDX,Green,NO,Portland,Oregon,7,10-01-29 7:05,Friday,FALSE
133,SWA386,1,B733,2000,MDW,Green,NO,Chicago,Illinois,2,10-01-29 2:36,Friday,FALSE
134,ASH2716,1,CRJ9,6000,TUS,Green,NO,Tucson,Arizona,2,10-01-29 2:37,Friday,FALSE
135,DAL1797,1,B752,15000,TEB,Green,NO,Teterboro,New Jersey,2,10-01-29 2:49,Friday,FALSE
136,AWE371,1,A320,5000,PHX,Green,NO,Phoenix,Arizona,2,10-01-29 2:59,Friday,FALSE
137,SKW5978,1,E120,2000,SBA,Green,NO,Santa Barbara,California,3,10-01-29 3:00,Friday,FALSE
138,SKW6565,1,CRJ7,9000,TUS,Green,NO,Tucson,Arizona,3,10-01-29 3:49,Friday,FALSE
139,N942TW,1,PA12,4000,OAK,Green,NO,Oakland,California,2,10-01-30 2:45,Saturday,FALSE
140,SWA1164,1,B737,6000,PHX,Green,NO,Phoenix,Arizona,3,10-01-30 3:00,Saturday,FALSE
141,ASA570,1,B737,5000,LAX,Green,NO,Los Angeles,California,6,10-01-30 6:21,Saturday,FALSE
142,LN1,1,AS50,6200,BJC,Green,NO,Denver,Colorado,5,10-01-31 5:30,Sunday,FALSE
143,ASA540,1,B738,5000,LAX,Green,NO,Los Angeles,California,6,10-01-31 6:11,Sunday,FALSE
144,SURVEY1,1,HELO,5500,TUS,Green,NO,Tucson,Arizona,8,10-01-31 8:20,Sunday,FALSE
145,SWA263,1,B737,8000,SMO,Green,NO,Santa Monica,California,2,10-01-31 2:36,Sunday,FALSE
146,AAL1260,1,B752,11000,TTN,Green,NO,Trenton,New Jersey,4,10-01-31 4:43,Sunday,FALSE
147,SURVEY2,1,HELO,5500,TUS,Green,NO,Tucson,Arizona,4,10-01-31 4:47,Sunday,FALSE
148,EGF4748,1,AT72,4000,DFW,Green,NO,Dallas-Fort Worth,Texas,1,10-02-01 1:59,Monday,FALSE
149,DAL133,1,B752,8500,SLC,Green,NO,Salt Lake City,Utah,3,10-02-01 3:00,Monday,FALSE
150,FDX1257,1,A310,2000,MIA,Green,NO,Miami,Florida,3,10-02-01 3:12,Monday,FALSE
151,BTA3105,1,E145,5000,IAH,Green,NO,Houston,Texas,1,10-02-02 1:58,Tuesday,FALSE
152,AAL686,1,MD82,2800,DFW,Green,NO,Dallas-Fort Worth,Texas,1,10-02-02 1:59,Tuesday,FALSE
153,DAL1226,1,MD90,10000,SLC,Green,NO,Salt Lake City,Utah,2,10-02-02 2:21,Tuesday,FALSE
154,ASH2850,1,DH8A,6000,PHX,Green,NO,Phoenix,Arizona,3,10-02-02 3:19,Tuesday,FALSE
155,DAL2432,1,B752,FL190,SRQ ,Green,NO,Sarasota,Florida,3,10-02-02 3:47,Tuesday,FALSE
156,SKW6440,1,CRJ2,1400,LAX,Green,NO,Los Angeles,California,3,10-02-02 3:53,Tuesday,FALSE
157,N17,1,C41,2500,VPS,Green,NO,Eglin AFB,Florida,1,10-02-03 1:07,Wednesday,FALSE
158,SWA308,1,B737,5000,SJC,Green,NO,San Jose,California,4,10-02-03 4:57,Wednesday,FALSE
159,OPT812,2,UNKN,8000,PAM,Red,NO,Panama City,Florida,4,10-02-03 4:30,Wednesday,FALSE
160,SWA1876,1,B733,4000,AGC,Green,NO,Pittsburgh,Pennsylvania,2,10-02-04 2:05,Thursday,FALSE
161,CJC297,1,DH8D,14000,ALB,Green,NO,Albany,New York,23,10-02-05 23:50,Friday,FALSE
162,COA236,1,B738,14000,EBG,Green ,NO,Edinburg,Texas,1,10-02-05 1:46,Friday,FALSE
163,AWE504,1,A320,8000,PHX,Green,NO,Phoenix,Arizona,2,10-02-05 2:27,Friday,FALSE
164,N687AE,1,C441,1600,PHX,Green,NO,Phoenix,Arizona,3,10-02-06 3:15,Saturday,FALSE
165,BTA275,1,E45X,19000,CTF,Green,NO,Chesterfield  ,South Carolina,5,10-02-07 5:25,Sunday,FALSE
166,UAL19,1,B752,1000,SFO,Green,NO,San Francisco,California,6,10-02-08 6:05,Monday,FALSE
167,SWA1995,1,B737,5000,PDX,Green,NO,Portland,Oregon,3,10-02-08 3:12,Monday,FALSE
168,CTA309,1,C208,7000,LAS,Green ,NO,Las Vegas,Nevada,3,10-02-08 3:48,Monday,FALSE
169,SWA402,1,B737,10000,SMF,Green,NO,Sacramento,California,0,10-02-09 0:22,Tuesday,FALSE
170,SWA3163,1,B737,6000,HOU,Green,NO,Houston,Texas,2,10-02-10 2:00,Wednesday,FALSE
171,FDX1857,1,DC10,14000,OAK,Green,NO,Oakland,California,11,10-02-10 11:01,Wednesday,FALSE
172,UPS1013,1,A306,12000,BOS,Green,NO,Boston,Massachusetts,3,10-02-11 3:30,Thursday,FALSE
173,TRS49,1,B737,8000,SMO,Green,NO,Santa Monica,California,8,10-02-11 8:28,Thursday,FALSE
174,FDX1013,1,A306,12000,BOS,Green ,NO,Boston,Massachusetts,3,10-02-11 3:53,Thursday,FALSE
