"","Salary","Born","City","Pr.St","Cntry","Nat","Ht","Wt","DftYr","DftRd","Ovrl","Hand","Last.Name","First.Name","Position","GP","G","A","A1","A2","PTS","X...","E...","PIM","Shifts","TOI","TOIX","TOI.GP","TOI.GP.1","TOI.","IPP.","SH.","SV.","PDO","F.60","A.60","Pct.","Diff","Diff.60","iCF","iCF.1","iFF","iSF","iSF.1","iSF.2","ixG","iSCF","iRB","iRS","iDS","sDist","sDist.1","Pass","iHF","iHF.1","iHA","iHDf","iMiss","iGVA","iTKA","iBLK","iGVA.1","iTKA.1","iBLK.1","BLK.","iFOW","iFOL","iFOW.1","iFOL.1","FO.","X.FOT","dzFOW","dzFOL","nzFOW","nzFOL","ozFOW","ozFOL","FOW.Up","FOL.Up","FOW.Down","FOL.Down","FOW.Close","FOL.Close","OTG","X1G","GWG","ENG","PSG","PSA","G.Bkhd","G.Dflct","G.Slap","G.Snap","G.Tip","G.Wrap","G.Wrst","CBar","Post","Over","Wide","S.Bkhd","S.Dflct","S.Slap","S.Snap","S.Tip","S.Wrap","S.Wrst","iPenT","iPenD","iPENT","iPEND","iPenDf","NPD","Min","Maj","Match","Misc","Game","CF","CA","FF","FA","SF","SA","xGF","xGA","SCF","SCA","GF","GA","RBF","RBA","RSF","RSA","DSF","DSA","FOW","FOL","HF","HA","GVA","TKA","PENT","PEND","OPS","DPS","PS","OTOI","Grit","DAP","Pace","GS","GS.G","TrainTest","undrafted","ANA","FLA","N.J","VAN","ARI","CGY","MIN","NYR","TOR","BOS","WPG","BUF","CAR","OTT","PIT","STL","CBJ","DAL","CHI","COL","MTL","NSH","S.J","DET","EDM","L.A","T.B","NYI","PHI","WSH","C","D","LW","RW","birth_year","birth_month","birth_day","born_AUT","born_CAN","born_CHE","born_CZE","born_DEU","born_DNK","born_EST","born_FIN","born_FRA","born_GBR","born_HRV","born_ITA","born_LVA","born_NOR","born_RUS","born_SVK","born_SWE","born_USA","born_SVN","nation_AUT","nation_CAN","nation_CHE","nation_CZE","nation_DEU","nation_DNK","nation_FIN","nation_FRA","nation_GBR","nation_HRV","nation_LVA","nation_NOR","nation_RUS","nation_SVK","nation_SWE","nation_USA","nation_SVN"
"1",925000,"97-01-30","Sainte-Marie","QC","CAN","CAN",74,190,2015,1,18,"L","Chabot","Thomas","D",1,0,0,0,0,0,-2,0,0,13,429,7.2,7.15,7.16,15.2,0,0,0.75,750,0,16.74,0,-2,-16.74,2,2,2,1,1,1,0,0,0,0,0,43,49.3,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,8,10,5,8,0.5,0.9,2,3,0,2,1,1,0,1,1,2,4,5,1,2,1,1,1,1,0,-0.2,-0.2,40.03,1,0,175.7,-0.4,-0.38,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1997,1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2250000,"93-12-21","Ottawa","ON","CAN","CAN",74,207,2012,1,15,"R","Ceci","Cody","D",79,2,15,6,9,17,-11,-10.4,20,2418,109992,1826.2,23.2,23.17,39,30.4,7.4,0.915,989,1.84,2.79,39.7,-29,-0.95,287,287,197,143,143,143,6.1,7,7,9,16,52.4,46.3,138.1,111,111,154,-43,54,74,22,159,74,22,159,8,1,0,1,0,100,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,51,2,0,49,12,0,1,79,10,6,10,5,-4,2.2,10,0,0,0,0,1433,1992,1038,1423,757,997,62,88.8,197,280,56,85,68,82,79,94,147,176,949,939,749,671,284,197,104,98,-0.2,3.4,3.2,2850.59,290,13.3,112.5,14.1,0.18,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1993,12,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",8e+06,"88-04-16","St. Paul","MN","USA","USA",72,218,2006,1,7,"R","Okposo","Kyle","RW",65,19,26,13,13,45,-7,-1.4,24,1443,73983,1229.2,18.97,18.95,33.1,63.4,9.7,0.934,1031,3.47,1.95,64,31,1.51,283,283,212,155,156,156,17.4,64,16,20,36,28.4,26.3,196.8,53,53,68,-15,57,36,26,25,36,26,25,2.4,54,45,54,45,54.5,7.4,9,6,10,11,35,28,13,10,21,16,37,33,1,5,2,0,0,0,5,2,0,3,0,0,9,0,2,4,51,19,3,3,20,8,2,101,12,10,11,8,-2,-0.5,12,0,0,0,0,1301,1051,986,826,734,606,70.8,46.4,235,133,71,40,60,34,76,52,136,86,739,600,340,351,168,129,56,70,3.7,1.3,5,2486.75,102,6.6,114.8,36.8,0.57,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1988,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"4",3500000,"92-01-07","Ottawa","ON","CAN","CAN",77,220,2010,1,3,"R","Gudbranson","Erik","D",30,1,5,5,0,6,-14,-5.3,18,765,36603,607.9,20.33,20.31,36.1,37.5,6.2,0.897,959,1.58,3.45,31.4,-19,-1.88,88,88,55,40,40,40,1.4,2,1,4,5,55.1,51,153,66,66,66,0,15,23,4,44,23,4,44,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,18,3,0,0,19,6,7,6,6,1,2.7,4,2,0,0,0,460,605,339,467,259,340,22,33.6,80,130,16,35,27,20,29,32,56,52,324,328,198,197,86,59,26,22,0,0.4,0.5,1074.41,130,17.5,105.1,5.9,0.2,"train",FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1750000,"94-03-29","Toronto","ON","CAN","CAN",76,217,2012,1,16,"R","Wilson","Tom","RW",82,7,12,4,8,19,9,4.1,133,1453,63592,1059.7,12.93,12.93,23.5,61.3,7.8,0.917,995,1.76,2.32,43.1,-10,-0.57,166,166,118,95,95,95,9.3,35,8,10,18,30.9,26.4,96.3,239,239,134,105,23,21,36,44,21,36,44,4.4,3,7,3,7,30,1,1,1,0,2,2,4,3,1,0,3,2,6,0,2,0,1,0,0,0,0,0,0,1,0,6,0,2,1,20,7,2,3,10,11,1,61,44,33,40,29,-11,-14.3,33,9,0,1,1,766,992,546,720,398,495,33.5,47.5,124,159,31,41,30,37,43,53,73,90,528,490,512,422,157,126,88,68,-0.1,1.4,1.3,3459.09,425,8.3,99.5,21.8,0.27,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1994,3,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1500000,"79-05-23","Strathroy","ON","CAN","CAN",70,192,1997,6,156,"L","Campbell","Brian","D",80,5,12,6,6,17,12,0.7,24,1896,88462,1473.7,18.43,18.43,32.4,23.9,9.8,0.936,1033,2.89,1.91,60.2,24,0.98,171,171,110,75,74,75,4.5,7,2,3,5,46.1,41.9,95.7,43,43,157,-114,35,59,11,83,59,11,83,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,1,6,28,2,0,32,9,1,0,30,12,11,12,8,-1,5.4,12,0,0,0,0,1356,1281,971,972,728,730,62.9,59.9,210,197,71,47,30,56,58,85,88,141,570,667,348,707,223,168,76,60,0.6,3.7,4.3,3069.81,150,4.5,107.4,20.8,0.26,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1979,5,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",950000,"90-11-21","Stockholm","INT","SWE","SWE",71,185,2009,2,53,"L","Rodin","Anton","RW",3,0,1,0,1,1,1,0.3,0,40,1604,26.7,8.92,8.91,19.1,100,14.3,1,1143,2.24,0,100,1,2.24,5,5,3,2,2,2,0.1,0,0,0,0,33.5,38.2,0,0,0,2,-2,1,1,2,1,1,2,1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,23,10,15,7,11,0.7,0.5,3,2,1,0,1,0,1,0,2,0,16,13,1,12,3,4,0,1,0,0.1,0.1,113.46,1,0,89.8,0.6,0.18,"train",FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8",842500,"93-07-28","Toronto","ON","CAN","CAN",70,183,2010,2,47,"R","Rodrigues","Evan","LW/C",30,4,2,2,0,6,-7,-4.1,4,506,23265,388.2,12.93,12.93,23.5,75,4.7,0.925,972,1.24,2.63,32,-9,-1.39,94,94,74,51,51,51,2.8,9,1,6,7,37.7,37.6,96.3,12,12,20,-8,23,9,12,12,9,12,12,3.2,104,146,104,146,41.6,79.4,27,37,37,53,40,56,36,46,39,56,59,90,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,21,3,0,7,9,0,1,31,2,8,2,6,6,3,2,0,0,0,0,309,379,246,291,170,226,10.5,17.2,36,54,8,17,3,13,12,14,15,27,141,174,192,136,50,30,22,15,0,0.2,0.2,1261.25,28,12,106.3,6.2,0.21,"train",TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1993,7,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1250000,"92-06-14","Scarborough","ON","CAN","CAN",72,214,2010,2,42,"R","Smith-Pelly","Devante","RW/C/LW",53,4,5,2,3,9,-19,-7.9,12,975,42950,717.7,13.57,13.54,24.2,81.8,4,0.924,964,0.92,2.42,27.5,-18,-1.5,108,109,97,74,76,76,7.8,31,4,1,5,26.6,25.4,84,94,94,53,41,24,14,17,32,14,17,32,4.4,29,42,29,42,40.8,11.5,7,9,9,12,13,21,10,18,10,11,17,26,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,3,21,8,0,4,19,8,0,37,6,9,6,6,3,1.8,6,0,0,0,0,484,724,380,548,277,384,23.8,33.7,74,105,11,29,11,17,13,36,24,53,286,330,292,240,85,69,47,40,-0.6,0.3,-0.3,2250.18,138,18.5,101,2,0.04,"train",FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1992,6,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",925000,"93-04-27","Petawawa","ON","CAN","CAN",68,178,2011,7,201,"L","Peca","Matthew","C",10,1,1,1,0,2,-3,-2.6,2,159,6867,114.3,11.45,11.44,23.4,100,4.4,0.907,952,1.05,2.63,28.6,-3,-1.58,24,24,17,9,9,9,0.9,3,0,1,1,24.9,28.4,45.8,9,9,16,-7,8,2,0,2,2,0,2,2.2,32,40,32,40,44.4,74.2,8,10,13,17,11,13,16,14,7,10,18,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,1,1,0,6,1,0,1,0,-1,-0.9,1,0,0,0,0,103,91,66,73,45,54,2.6,3.7,5,11,2,5,3,1,2,4,5,5,45,52,52,47,15,6,8,7,0,0,0,373.48,13,9,101.9,2.1,0.21,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1993,4,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",8e+05,"86-07-27","Lively","ON","CAN","CAN",73,195,2010,2,47,"L","Desjardins","Andrew","LW/C",46,0,1,0,1,1,-6,0.8,22,607,25948,432.3,9.4,9.4,18.2,10,4.8,0.912,959,1.39,2.64,34.5,-9,-1.25,84,84,59,46,46,46,4.5,19,2,4,6,27,26.1,0,73,73,57,16,13,10,9,17,10,9,17,3.9,39,30,39,30,56.5,19.2,19,9,9,12,11,9,12,5,4,10,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,2,3,5,1,34,8,9,8,7,1,-1.1,6,2,0,0,0,386,439,272,307,209,215,17.4,21.2,51,71,10,19,11,14,19,22,30,36,164,196,183,229,65,55,19,20,-1.1,0.1,-1,1937.88,114,13.7,114.5,3.7,0.08,"train",TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1986,7,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",6e+05,"92-04-09","Ile Bizard","QC","CAN","CAN",74,204,2010,3,89,"L","Chaput","Michael","C",68,4,5,2,3,9,-12,-5.7,29,1115,44970,749.1,11.02,11.02,20.5,56.3,4.7,0.924,971,1.28,2.48,34,-15,-1.2,113,113,80,64,64,64,6.6,29,9,5,14,28.4,24.5,79,68,68,52,16,16,14,13,29,14,13,29,4,203,182,203,182,52.7,59.5,61,60,86,70,56,52,74,59,65,68,143,116,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,15,5,5,5,5,4,0,40,13,8,13,7,-5,-5.9,12,1,0,0,0,611,733,450,555,339,409,22.9,32.5,81,102,16,31,18,26,25,23,43,49,330,317,327,307,71,77,45,38,-0.8,0.5,-0.3,2903.93,127,6.8,107.6,5.7,0.08,"train",FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1992,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1e+06,"88-03-17","Brandon","MB","CAN","CAN",72,200,2006,3,66,"R","White","Ryan","C",65,9,7,4,3,16,-16,-9,84,948,41566,692.7,10.65,10.65,20.7,76.2,6.8,0.894,962,1.82,3.38,35,-18,-1.56,103,103,81,60,60,60,5.5,21,7,9,16,32.1,30.5,105.1,187,187,69,118,21,10,11,33,10,11,33,4.7,39,52,39,52,42.9,14.3,17,23,9,7,13,22,11,20,11,18,29,29,0,0,1,0,0,0,1,0,0,2,2,0,4,0,0,3,18,1,0,7,6,2,0,44,21,7,15,7,-14,-7,12,6,0,3,0,560,700,421,539,309,368,21.3,32.1,63,99,21,39,26,25,30,27,56,52,320,318,497,300,62,51,43,36,0.8,0.1,0.9,2649.17,310,16.5,109.1,7.8,0.12,"train",FALSE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1988,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",925000,"96-06-20","Holland Landing","ON","CAN","CAN",73,186,2014,1,4,"L","Bennett","Sam","C",81,13,13,7,6,26,-16,-0.6,75,1613,72839,1212.7,14.98,14.98,26.2,65,7.7,0.906,983,1.98,2.62,43,-13,-0.64,215,215,169,122,122,122,13.3,45,12,19,31,27,26.6,211.4,127,127,66,61,47,25,43,46,25,43,46,4.4,374,437,374,437,46.1,72.1,115,125,141,163,118,149,118,137,127,159,219,255,0,3,0,1,0,0,0,0,2,1,1,0,9,1,0,9,37,13,0,5,9,16,2,77,33,21,32,16,-12,-11.9,30,3,0,0,0,1004,1048,739,778,519,562,40.8,46.3,115,150,40,53,21,28,52,45,73,73,537,588,426,334,213,175,85,80,0.8,0.8,1.6,3411.7,251,5.7,101.5,21.6,0.27,"train",FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1996,6,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",950000,"89-04-20","Red Deer","AB","CAN","CAN",72,195,2007,4,112,"R","Sceviour","Colton","C/RW",80,9,15,9,6,24,-16,-6.5,25,1596,70241,1169.7,14.63,14.63,26,68.6,6.3,0.911,974,1.8,2.82,38.9,-20,-1.03,264,264,220,172,172,172,14.5,51,17,13,30,31.2,28.7,265.1,108,108,93,15,48,23,40,64,23,40,64,5.8,31,27,31,27,53.4,5.2,12,10,6,4,13,13,15,10,7,10,18,15,0,2,1,0,0,0,1,0,0,1,0,0,7,0,2,1,45,18,1,24,34,5,9,81,10,12,11,7,2,-7.4,9,1,0,0,0,962,1113,740,838,556,619,41.5,54.1,123,171,35,55,33,42,51,52,84,94,543,572,482,360,177,157,66,67,0.4,0.9,1.3,3327.53,198,16.4,106.4,27.4,0.34,"train",FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1989,4,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",680000,"94-01-06","Edmonton","AB","CAN","CAN",74,187,2012,4,105,"L","Kulak","Brett","D",21,0,3,2,1,3,-3,-0.4,12,415,17945,299.1,14.25,14.24,27.9,42.9,5.2,0.921,973,1.4,2.41,36.8,-5,-1,53,53,30,19,19,19,1,1,1,4,5,54.7,46.3,74.4,14,14,15,-1,11,10,4,13,10,4,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,6,0,0,5,6,1,5,0,-5,-3.5,6,0,0,0,0,271,262,187,205,134,152,11.7,12.1,36,33,7,12,12,9,15,15,27,24,128,127,145,115,55,30,22,24,-0.1,0.4,0.4,771.85,39,3,106.9,3,0.14,"train",FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",590000,"92-04-24","Oakville","ON","CAN","CAN",71,183,2011,7,209,"L","Wilson","Scott","LW/C",78,8,18,11,7,26,0,7.8,32,1253,51220,853.5,10.95,10.95,21.7,72.2,7.8,0.916,994,2.53,2.46,50.7,1,0.07,215,214,172,127,127,127,13.9,52,8,10,18,27,25.6,249,167,167,171,-4,45,11,20,31,11,20,31,3.9,3,0,3,0,100,0.4,0,0,1,0,2,0,1,0,2,0,3,0,0,3,1,0,0,1,3,1,1,0,0,0,3,1,6,4,34,15,2,8,23,13,5,61,9,20,9,19,11,11.3,6,2,0,1,0,820,791,624,565,462,419,45,37.6,152,129,36,35,50,42,37,31,87,73,391,398,497,545,109,74,44,57,1.4,0.6,2,3086.34,232,31.2,113.3,29.6,0.38,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1992,4,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",650000,"91-05-13","St. Catharines","ON","CAN","CAN",74,203,2009,3,70,"R","Beck","Taylor","LW",5,0,0,0,0,0,-3,-1.4,4,70,2643,44,8.82,8.81,17.2,0,0,0.87,870,0,4.09,0,-3,-4.09,11,11,5,5,5,5,0.3,2,0,0,0,23.6,23.3,0,5,5,6,-1,0,2,1,0,2,1,0,0,0,1,0,1,0,2.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,0,1,0,-2,-1,2,0,0,0,0,33,44,20,32,15,23,0.9,3,4,12,0,3,0,4,1,1,1,5,19,19,21,20,10,2,3,2,-0.1,-0.1,-0.2,212.16,9,3,104.9,-0.9,-0.18,"train",FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1991,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2250000,"86-04-28","Ostrava","INT","CZE","CZE",74,235,2004,6,180,"R","Polak","Roman","D",75,4,7,2,5,11,10,-2.3,65,1817,80643,1339.2,17.83,17.87,32.5,25,7.6,0.93,1006,1.97,2.46,44.4,-11,-0.49,162,164,99,62,64,64,2.7,3,2,5,7,56.5,49.4,76.2,232,232,123,109,38,49,16,133,49,16,133,8.6,0,1,0,1,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,5,33,2,0,26,23,0,0,13,24,6,23,4,-18,-13.5,20,3,0,0,1,1085,1544,837,1140,577,781,54,75.4,182,255,44,55,25,46,62,66,87,112,613,639,676,647,236,231,90,70,0,3.2,3.2,2783.42,433,12.4,117.8,11.8,0.16,"train",FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1986,4,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",6e+05,"90-10-08","Faribault","MN","USA","USA",76,210,2009,4,114,"L","Helgeson","Seth","D",9,1,0,0,0,1,2,0.4,15,177,7273,121.2,13.47,13.47,26.3,25,8.3,0.934,1018,1.98,1.98,50,0,0,11,11,8,3,3,3,0.2,0,0,0,0,53,44.3,0,16,16,6,10,5,0,0,11,0,0,11,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,2,0,0,0,3,0,3,1,-3,-1.5,0,3,0,0,0,90,111,74,81,48,61,4.4,5.3,13,11,4,4,2,8,0,6,2,14,55,62,63,34,8,5,11,5,0.1,0.5,0.6,340.46,45,0,99.5,1,0.11,"train",FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"21",5e+06,"94-03-09","Vancouver","BC","CAN","CAN",73,215,2012,1,5,"L","Rielly","Morgan","D",76,6,21,14,7,27,-20,2.6,21,2335,101089,1669.7,22.05,22.06,37.1,39.7,7.9,0.903,982,2.44,3.41,41.7,-27,-0.97,137,352,105,74,171,171,8.7,19,4,14,10,51.6,29.2,305.4,46,46,112,-66,78,76,34,120,76,34,120,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,3,0,1,10,67,3,0,16,81,2,0,68,9,10,9,8,1,6.6,8,1,0,0,0,1621,1786,1223,1373,857,975,78.8,88.8,288,311,68,95,40,58,89,81,129,139,938,976,609,711,267,245,84,107,1.6,1.3,2.9,2832.12,188,10,122.4,34.9,0.46,"train",FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",5250000,"92-06-25","Wilcox","SK","CAN","CAN",70,188,2010,1,14,"L","Schwartz","Jaden","LW/C",78,19,36,24,12,55,14,8.7,18,2032,88482,1470.6,18.9,18.89,31.9,65.5,10.2,0.914,1016,3.43,2.16,61.3,31,1.26,303,303,241,179,179,179,22,80,17,16,33,26.2,23.9,360.7,71,71,110,-39,62,29,59,43,29,59,43,3.7,67,73,67,73,47.9,9.4,13,11,16,19,38,43,20,23,18,23,40,43,1,3,4,2,0,0,3,0,0,0,4,0,12,2,4,3,53,16,4,18,18,19,2,102,9,9,8,8,0,2.5,9,0,0,0,0,1503,1168,1108,854,827,618,73.8,49.2,239,153,84,53,56,31,57,50,113,81,780,713,367,479,141,167,65,68,4.1,2.3,6.4,3146.08,132,14.4,109,63.3,0.81,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1992,6,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",925000,"96-05-01","Calgary","AB","CAN","SWE",72,190,2014,1,8,"R","Nylander","William","C/RW",81,22,39,23,16,61,-3,7.2,32,1766,77820,1291.4,15.92,15.96,28.5,82.4,9.1,0.928,1019,3.44,2.04,62.7,30,1.39,361,363,284,204,205,205,19.7,67,6,21,27,31.8,29,391.4,25,25,59,-1,81,30,59,16,30,59,16,1.5,49,73,49,73,40.2,10.4,9,11,15,29,25,33,19,24,21,21,24,48,0,1,2,1,0,0,1,0,1,6,1,0,13,0,5,13,63,8,1,11,77,12,2,94,16,6,16,6,-10,-6.6,16,0,0,0,0,1527,1091,1162,841,810,610,82.8,50.4,305,170,74,44,42,25,74,56,116,81,546,630,418,585,210,189,75,78,5.7,1.1,6.8,3233.56,73,5.3,121.6,61,0.75,"train",FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1996,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
