"","Salary","Born","City","Pr.St","Cntry","Nat","Ht","Wt","DftYr","DftRd","Ovrl","Hand","Last.Name","First.Name","Position","GP","G","A","A1","A2","PTS","X...","E...","PIM","Shifts","TOI","TOIX","TOI.GP","TOI.GP.1","TOI.","IPP.","SH.","SV.","PDO","F.60","A.60","Pct.","Diff","Diff.60","iCF","iCF.1","iFF","iSF","iSF.1","iSF.2","ixG","iSCF","iRB","iRS","iDS","sDist","sDist.1","Pass","iHF","iHF.1","iHA","iHDf","iMiss","iGVA","iTKA","iBLK","iGVA.1","iTKA.1","iBLK.1","BLK.","iFOW","iFOL","iFOW.1","iFOL.1","FO.","X.FOT","dzFOW","dzFOL","nzFOW","nzFOL","ozFOW","ozFOL","FOW.Up","FOL.Up","FOW.Down","FOL.Down","FOW.Close","FOL.Close","OTG","X1G","GWG","ENG","PSG","PSA","G.Bkhd","G.Dflct","G.Slap","G.Snap","G.Tip","G.Wrap","G.Wrst","CBar","Post","Over","Wide","S.Bkhd","S.Dflct","S.Slap","S.Snap","S.Tip","S.Wrap","S.Wrst","iPenT","iPenD","iPENT","iPEND","iPenDf","NPD","Min","Maj","Match","Misc","Game","CF","CA","FF","FA","SF","SA","xGF","xGA","SCF","SCA","GF","GA","RBF","RBA","RSF","RSA","DSF","DSA","FOW","FOL","HF","HA","GVA","TKA","PENT","PEND","OPS","DPS","PS","OTOI","Grit","DAP","Pace","GS","GS.G","TrainTest","undrafted","ANA","FLA","N.J","VAN","ARI","CGY","MIN","NYR","TOR","BOS","WPG","BUF","CAR","OTT","PIT","STL","CBJ","DAL","CHI","COL","MTL","NSH","S.J","DET","EDM","L.A","T.B","NYI","PHI","WSH","C","D","LW","RW","birth_year","birth_month","birth_day","born_AUT","born_CAN","born_CHE","born_CZE","born_DEU","born_DNK","born_EST","born_FIN","born_FRA","born_GBR","born_HRV","born_ITA","born_LVA","born_NOR","born_RUS","born_SVK","born_SWE","born_USA","born_SVN","nation_AUT","nation_CAN","nation_CHE","nation_CZE","nation_DEU","nation_DNK","nation_FIN","nation_FRA","nation_GBR","nation_HRV","nation_LVA","nation_NOR","nation_RUS","nation_SVK","nation_SWE","nation_USA","nation_SVN"
"563",925000,"96-01-22","Mississauga","ON","CAN","CAN",70,195,2014,1,21,"L","Fabbri","Robby","C/LW",51,11,18,12,6,29,-16,-5.3,27,1101,47764,794.5,15.62,15.6,28.5,67.4,10.7,0.883,990,3.25,2.95,52.4,4,0.3,160,160,126,91,91,91,8.9,32,3,9,12,27.8,24.2,256.3,64,64,58,6,35,8,20,14,8,20,14,2.3,13,11,13,11,54.2,3.3,0,0,2,3,11,8,3,1,6,5,11,8,0,4,0,1,0,0,0,0,0,4,0,0,7,0,2,4,29,4,0,1,14,2,0,70,12,15,15,12,3,-2.5,11,1,0,0,0,785,602,584,459,401,334,35.2,28.9,111,85,43,39,19,21,29,21,48,42,378,341,270,283,58,79,62,46,2.2,0.3,2.5,1996.98,106,7.6,104.7,28.2,0.55,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1996,1,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"564",4e+06,"91-03-28","Frydek-Mistek","INT","CZE","CZE",72,188,2011,7,208,"L","Palat","Ondrej","LW",75,17,35,17,18,52,8,-0.4,39,1807,86028,1427.2,19.12,19.09,32.2,62.7,10.6,0.915,1020,3.49,2.48,58.5,24,1.01,276,277,216,162,162,162,17.7,66,20,12,32,27.9,26.2,247.6,141,141,127,14,54,46,60,66,46,60,66,5.4,9,25,9,25,26.5,2.3,0,3,5,6,4,16,5,7,2,7,4,16,0,1,3,0,0,0,0,0,0,1,3,0,13,1,1,12,40,11,0,17,22,18,1,93,18,31,18,24,13,7.3,17,1,0,0,0,1445,1220,1100,945,785,691,70.9,57.6,241,181,83,59,56,38,52,82,108,120,682,771,422,481,248,166,67,83,3.6,2,5.6,2999.13,247,11.8,112,56.9,0.76,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1991,3,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"565",6500000,"85-03-21","Rochester","NY","USA","USA",70,187,2004,4,127,"R","Callahan","Ryan","RW",18,2,2,1,1,4,-4,-4.5,23,351,15274,254.7,14.15,14.15,26.2,57.1,6.3,0.916,978,1.65,3.3,33.3,-7,-1.65,42,42,33,22,22,22,2,8,0,5,5,34.2,31.2,35.7,48,48,27,21,11,10,7,13,10,7,13,4.4,5,4,5,4,55.6,3.1,1,2,0,0,4,2,2,1,3,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,8,2,0,4,3,2,0,11,6,6,5,5,0,-1,4,1,0,1,0,194,296,150,220,112,166,7.7,15.1,25,52,7,14,5,18,12,15,17,33,140,153,115,108,37,21,16,17,-0.1,0.1,0.1,716.02,85,13.8,115.4,2.2,0.12,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1985,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"566",7e+05,"91-04-12","Norrkoping","INT","SWE","SWE",75,203,2009,1,10,"L","Paajarvi","Magnus","LW",32,8,5,3,2,13,9,2.2,6,582,23339,389.2,12.17,12.16,22.7,68.4,10.4,0.951,1054,2.93,1.39,67.9,10,1.54,81,81,63,51,51,51,5.1,24,3,7,10,24.7,24.4,54.5,29,29,39,-10,12,0,11,16,0,11,16,4.6,1,2,1,2,33.3,0.9,0,0,0,1,1,1,0,0,1,2,1,2,0,2,3,0,0,0,0,0,0,1,1,0,6,0,1,1,10,7,2,0,3,5,1,33,3,5,3,5,2,3,3,0,0,0,0,345,349,255,266,183,182,14.7,14.5,54,49,19,9,9,11,23,9,32,20,159,181,121,172,25,41,19,14,1.2,0.8,2.1,1327.15,51,13.3,107,16.1,0.5,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1991,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"567",925000,"97-03-11","London","ON","CAN","CAN",70,175,2015,1,24,"R","Konecny","Travis","C/LW",70,11,17,10,7,28,-2,0,49,1330,59180,986.9,14.08,14.09,26.1,66.7,7.8,0.917,995,2.55,2.43,51.2,2,0.12,235,235,184,134,133,133,14.6,44,20,14,34,28.5,25.5,243.2,92,92,126,-34,50,28,26,26,28,26,26,2.9,0,5,0,5,0,0.6,0,0,0,1,0,4,0,1,0,2,0,4,0,1,0,0,0,0,2,0,0,3,3,0,3,1,2,10,37,16,1,7,41,7,0,61,19,29,15,21,10,4.6,17,1,0,1,0,1003,885,749,635,538,481,46.1,39.6,141,141,42,40,47,32,47,59,94,91,438,433,384,457,175,95,78,81,1.6,1.2,2.7,2797.57,168,6.9,114.8,32.3,0.46,"train",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1997,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"568",925000,"93-05-26","Boston","MA","USA","USA",75,207,2012,3,66,"L","Vesey","Jimmy","LW",80,16,11,7,4,27,-13,-8.1,26,1508,65442,1087.5,13.63,13.62,25.3,60,9.1,0.919,1010,2.48,2.37,51.1,2,0.11,214,214,165,116,116,116,16.9,74,13,11,24,21.9,21.6,148.7,64,64,71,-7,49,34,44,37,34,44,37,3.8,2,5,2,5,28.6,0.7,1,0,1,3,0,2,1,0,0,1,1,4,0,0,6,0,0,0,3,0,0,3,2,0,8,0,2,2,45,18,0,2,22,9,0,65,10,16,10,15,6,3.6,8,2,0,0,0,948,975,704,712,493,528,51,46.7,188,156,45,43,35,37,45,52,80,89,467,493,379,405,198,147,60,56,1.7,0.4,2.2,3210.58,129,13.5,106.1,19.7,0.25,"train",FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1993,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"569",1025000,"89-12-07","Esbjerg","INT","DNK","DNK",73,185,2008,5,149,"R","Larsen","Philip","D",26,1,5,4,1,6,-8,-5.7,4,546,25675,426.6,16.47,16.44,29.6,46.2,6,0.926,986,1.83,2.25,44.8,-3,-0.42,87,87,49,32,32,32,1.9,4,0,1,1,50.1,48.8,103.5,12,12,26,-14,17,14,4,22,14,4,22,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,14,0,1,15,0,1,0,15,2,0,2,0,-2,0.5,2,0,0,0,0,417,363,300,281,217,216,18.6,18.3,67,65,13,16,10,13,13,16,23,29,230,215,122,149,55,27,19,25,0.3,0.5,0.7,1016.4,38,8,109.7,5.3,0.2,"train",FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1989,12,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"570",925000,"96-02-14","Aalborg","INT","DNK","DNK",72,172,2014,1,9,"L","Ehlers","Nikolaj","LW",82,25,39,20,19,64,1,4.9,38,1845,86032,1410.9,17.48,17.39,31.2,77.1,10.4,0.899,1003,3.53,2.85,55.3,16,0.68,372,377,291,199,204,204,18.9,60,8,24,32,32.2,30.7,332.7,43,43,92,-49,93,51,36,28,51,36,27,2.3,0,4,0,4,0,0.3,0,0,0,1,0,3,0,2,0,2,0,0,0,3,4,3,1,1,1,0,2,4,1,1,16,2,9,10,72,22,2,35,23,1,6,115,19,41,18,40,22,16.6,19,0,0,0,0,1480,1160,1119,893,801,665,77.5,56.5,249,197,83,67,54,44,80,79,134,123,657,715,412,411,231,167,83,95,5.8,1.3,7.2,3116.42,109,4.2,112.3,63.6,0.79,"train",FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"571",925000,"94-03-26","Lakeville","MN","USA","USA",75,211,2012,1,28,"L","Skjei","Brady","D",80,5,34,13,21,39,11,-4,42,1885,83821,1394.3,17.47,17.45,30.8,50,11.3,0.918,1031,3.36,2.24,60,26,1.12,229,230,171,127,127,127,5.9,7,3,6,9,47.6,42.8,188,147,147,108,39,45,51,17,69,51,17,69,6,0,1,0,1,0,0.1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,0,0,3,2,40,3,0,49,22,2,2,49,20,11,21,10,-9,-3.5,20,0,0,0,0,1293,1145,972,854,688,634,64.1,53.8,239,197,78,52,37,32,52,47,89,79,627,647,590,507,235,166,102,65,3.1,3.3,6.4,3130.23,258,8.2,104.9,38.6,0.48,"train",FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"572",1750000,"85-10-16","Calgary","AB","CAN","CAN",75,215,2010,2,47,"R","Beagle","Jay","C/RW",81,13,17,13,4,30,20,-2.4,22,1587,66251,1101.6,13.63,13.62,24.2,73.2,10,0.92,1020,2.23,2.56,46.6,-6,-0.33,158,158,136,100,100,100,11.4,47,11,5,16,24.9,23.4,188.8,55,55,59,-4,36,26,11,44,26,11,44,3.8,624,483,624,483,56.4,91.3,333,253,189,152,102,78,191,160,247,178,342,267,1,4,4,0,0,0,1,0,0,0,3,1,8,1,0,1,34,17,0,6,16,13,2,46,11,12,11,9,1,-1.3,11,0,0,0,0,745,1145,565,860,409,585,35.7,59.4,128,218,41,47,32,47,38,58,70,105,672,541,481,426,179,122,71,73,1.6,1.9,3.5,3444.06,121,6,102.9,29.5,0.36,"train",TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1985,10,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
