DATE,TIME (UTC),ACID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE
01-Jan-10,102,AIR1,1,HELO,2000,LEX,Green,NO,Lexington,Kentucky
01-Jan-10,403,ASA513,1,B737,10000,LAX,Green,NO,Los Angeles,California
01-Jan-10,246,EGF3002,1,E135,7000,LAX,Green,NO,Los Angeles,California
01-Jan-10,157,EGF3086,1,E135,7000,LAX,Green,NO,Los Angeles,California
01-Jan-10,258,JBU300,1,A320,12500,SLI,Green,NO,Los Alamitos,California
01-Jan-10,255,JBU303,1,A320,2000,LGB,Green,NO,Los Angeles,California
01-Jan-10,857,PD2,1,E120,700,FAT,Green,NO,Fresno,California
01-Jan-10,44,SKW6083,1,CRJ2,6800,LNK,Green,NO,Lincoln,Nebraska
01-Jan-10,155,SKW6318,1,E120,1000,LAX,Green,NO,Los Angeles,California
01-Jan-10,730,SKW6433,1,CRJ2,1000,FAT,Green,NO,Fresno,California
01-Jan-10,302,SWA3652,1,B737,3000,OAK,Green,NO,Oakland,California
02-Jan-10,244,BTA2194,1,E145,36000,TBD,Green,NO, Thibodaux,Louisiana
03-Jan-10,822,ASH9421,1,CRJ9,2500,PHX,Green,NO,Phoenix,Arizona
03-Jan-10,231,COA1671,1,B733,1000,TUS,Green,NO,Tucson,Arizona
03-Jan-10,518,DAL1298,1,MD81,2000,PHL,Green,NO,Philadelphia,Pennsylvania
03-Jan-10,0,EGF2771,2,E135,UNKN,VPS,Green,NO,Eglin AFB,Florida
03-Jan-10,207,EGF4325,1,E145,800,ORD,Green,NO,Chicago,Illinois
03-Jan-10,828,FRT753,1,A319,9000,LAX,Green,NO,Los Angeles,California
03-Jan-10,315,JEM94,1,C750,3000,SGR,Green,NO,Sugar Land (Houston),Texas
03-Jan-10,606,SKW6430,1,CRJ7,UNKN,SAT,Green,NO,San Antonio,Texas
04-Jan-10,520,SSX3335,1,DH8D,11000,ALB,Green,NO,Albany,New York
05-Jan-10,309,AAL1543,1,MD81,5200,SJC,Red,NO,San Jose,California
05-Jan-10,49,BTA2901,1,E45X,FL300,TBD,Green,NO, Thibodaux,Louisiana
05-Jan-10,341,N725BH,1,PA31,3800,TUS,Green,NO,Tucson,Arizona
05-Jan-10,700,SKW6284,1,E120,1100,LAX,Green,NO,Los Angeles,California
05-Jan-10,226,SWA2542,1,B737,5000,MZB,Green,NO,Mission Bay ,California
06-Jan-10,350,AAL127,1,MD81,3500,MZB,Green,NO, Mission Bay ,California
06-Jan-10,153,N241CT,1,WW24,1800,SJU,Green,NO,San Juan,Puerto Rico
06-Jan-10,117,N35WS,1,C172,3000,CLT,Green,NO,Charlotte,North Carolina
06-Jan-10,346,AIR1,1,B206B,3000,TUS,Green ,NO,Tucson,Arizona
06-Jan-10,522,SWA2523,1,B737,13000,OCN,Green/White,NO,Oceanside,California
06-Jan-10,557,VRD418,1,A320,FL180,SLI,Green,NO,Los Alamitos,California
06-Jan-10,540,SKW5959,1,E120,4000,SFO,Green,NO,San Francisco,California
07-Jan-10,257,AAL443,1,B738,800,MIA,Green,NO,Miami,Florida
07-Jan-10,234,N945SM,1,C172,2000,SQL,Green,NO,San Carlos,California
07-Jan-10,420,SWA1236,1,B737,9000,LAX,Green,NO,Los Angeles,California
08-Jan-10,242,ASH2782,1,CRJ9,8000,PHX,Green,NO,Phoenix,Arizona
08-Jan-10,323,NWA2405,1,A320,3200,PBI,Green,NO,West Palm Beach,Florida
08-Jan-10,201,SKW6169,1,E120,3000,LAX,Green,NO,Los Angeles,California
08-Jan-10,440,SKW1236,1,B733,9000,LAX,Green,NO,Los Angeles,California
09-Jan-10,808,OMAHA30A ,1,HELO,900,MZB,Green,NO,San Diego,California
09-Jan-10,815,UAL485,1,A319,9000,SAC,Green,NO,Sacramento,California
09-Jan-10,913,VRD371,1,A320,10000,LAX,Green,NO,Los Angeles,California
10-Jan-10,548,ASA870,3,B738,1600,HNL,Green,NO,Honolulu,Hawaii
10-Jan-10,705,AAL2194,1,B737,6500,LAX,Green,NO,Los Angeles,California
10-Jan-10,514,N54FT,1,C501,2000,SAT,Green,NO,San Antonio,Texas
10-Jan-10,1219,POLICE18,1,HELO,1000,LAX,Green,NO,Los Angeles,California
11-Jan-10,427,AAL2355,1,MD82,FL200,BYP,Green,NO,Bonham,Texas
11-Jan-10,410,HAL48,1,B763,3000,OAK,Green,NO,Oakland,California
12-Jan-10,619,EJA944,1,C750,10000,SJC,Green,NO,San Jose,California
12-Jan-10,617,SWA1337,1,B737,10000,SJC,Green,NO,San Jose,California
