DATE,TIME (UTC),ACID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE
13-Jan-10,403,FDX1294,1,DC10,34000,LOU,Green,NO,Louisville,Kentucky
13-Jan-10,2337,N871CP,1,C182,1500,CHA,Green,NO,Chattanooga,Tennessee
13-Jan-10,852,SKW6349,1,CRJ2,2000,SFO,Green,NO,San Francisco,California
13-Jan-10,254,SKW6699,1,CRJ2,13000,DEN,Green,NO,Denver,Colorado
13-Jan-10,44,TIGER22,1,P3,2000,MYR,Green,NO,Myrtle Beach,South Carolina
14-Jan-10,30,AWE1240,1,B737,6000,PHL,Green,NO,Philadelphia,Pennsylvania
14-Jan-10,337,FIV629,1,C680,3000,SAC,Green,NO,Sacramento,California
14-Jan-10,2333,JENA231,1,UNKN,2500,TMB,Green,NO,Tamiami,Florida
14-Jan-10,450,SWA1483,1,B737,2000,SFO,Green,NO,San Francisco,California
14-Jan-10,637,TV11,1,AS350,900,LGB,Green,NO,Long Beach,California
15-Jan-10,213,BTA3104,1,E45X,1000,IAH,Green,NO,Houston,Texas
15-Jan-10,443,SKW6049,1,CRJ2,2500,LAX,Green,NO,Los Angeles,California
15-Jan-10,621,SWA224,1,B733,7000,PHX,Green,NO,Phoenix,Arizona
15-Jan-10,215,UAL965,1,A320,1000,IAH,Green,NO,Houston,Texas
15-Jan-10,614,SWA798,1,B737,7000,SJC,Green,NO,San Jose,California
15-Jan-10,1107,UPS1534,1,A306,1800,BHM,Green,NO,Birmingham,Alabama
16-Jan-10,333,AAL1831,1,B738,6500,MIA,Green,NO,Miami,Florida
16-Jan-10,100,JBU425,1,A306,2000,PBI,Green,NO,West Palm Beach,Florida
16-Jan-10,220,BTA2134,3,E145,1000,IAH,Green,NO,Houston,Texas
16-Jan-10,632,SWA1781,1,B737,7000,SNS,Green,NO,Salinas,California
16-Jan-10,205,SWA1999,1,B737,8000,SJC,Green,NO,San Jose,California
16-Jan-10,436,SKW649,1,UNKN,2500,LAX,Green,NO,Los Angeles,California
16-Jan-10,443,SWA826,1,B737,7000,LAS,Red,NO,Las Vegas,Nevada
16-Jan-10,2310,SWA9003,1,B737,17000,PTW,Green,NO,Pottstown,Pennsylvania
17-Jan-10,41,AAL2055,1,B752,3000,MIA,Green,NO,Miami,Florida
17-Jan-10,203,AAY440,1,MD83,4000,FAY,Red,NO,Fayetteville,Arkansas
17-Jan-10,722,ASA463,1,B739,1000,SEA,Green,NO,Seattle,Washington
17-Jan-10,229,JENA65,1,C208,4000,FAY,Green,NO,Fayetteville,Arkansas
18-Jan-10,1731,JBU715,1,A320,SFC,JFK,Green,NO,New York City,New York
18-Jan-10,528,N1243D,1,C208,1000,MOB,Green,NO,Mobile,Alabama
18-Jan-10,538,SWA2905,1,B737,5000,OAK,Green,NO,Oakland,California
18-Jan-10,214,SWA396,1,B733,6000,STL,Green,NO,St. Louis,Missouri
18-Jan-10,258,SWA962,1,B737,8000,PHX,Green,NO,Phoenix,Arizona
19-Jan-10,116,UAL645,1,B752,4000,ORD,Green,NO,Chicago,Illinois
20-Jan-10,453,FDX991,1,A306,7000,LAX,Green,NO,Los Angeles,California
21-Jan-10,145,A26995,1,UH60,2300,LAX,Green,NO,Killeen,Texas
21-Jan-10,202,COA795,1,B738,1300,LAX,Green,NO,Los Angeles,California
21-Jan-10,105,PHM003,1,S92,3000,LFT,Green,NO,Lafayette,Louisiana
21-Jan-10,26,STAT4,1,EC35,2200,PIT,Green,NO,Pittsburgh,Pennsylvania
21-Jan-10,515,UPS805,1,A306,UNKN,DEN,Green,NO,Denver,Colorado
22-Jan-10,207,AAL1187,1,MD82,7000,DFW,Green,NO,Dallas-Fort Worth,Texas
22-Jan-10,2305,AAL1530,1,B752,3500,LGA,Green,NO,New York City,New York
22-Jan-10,118,NWA2538,1,B752,12000,MCO,Green,NO,Orlando,Florida
22-Jan-10,21,SHARK91,1,C130,1500,SJU,Green,NO,San Juan,Puerto Rico
22-Jan-10,436,VRD416,1,A320,13000,JFK,Green,NO,New York City,New York
23-Jan-10,351,AAL657,1,MD82,4000,DFW,Green,NO,Dallas-Fort Worth,Texas
23-Jan-10,709,AAY391,1,MD83,1800,LAX,Green,NO,Los Angeles,California
23-Jan-10,407,GLA765,1,B190,14000,SBD,Green,NO,San Bernardino,California
23-Jan-10,52,N3153Q,1,C182,3000,RSW,Green,NO,Fort Myers,Florida
23-Jan-10,335,N5553A,1,C210,3500,RHV,Green,NO,Gilroy,California
23-Jan-10,420,SWA765,1,B733,13700,SBD,Green,NO,San Bernardino,California
23-Jan-10,255,VNR140,1,P180,2600,PIE,Green,NO,St Petersburg-Clearwater,Florida
24-Jan-10,525,HAL361,1,B712,2000,HNL,Green,NO,Honolulu,Hawaii
24-Jan-10,955,SURVEY1,1,TCOU,5500,TUS,Green,NO,Tucson,Arizona
24-Jan-10,224,EJA337,1,C560,8000,SJC,Green,NO,Santa Clara,California
24-Jan-10,228,SSX3577,1,DH8D,6100,SLC,Green,NO,Salt Lake City,Utah
24-Jan-10,228,AWE456,1,A319,6100,SLC,Green,NO,Salt Lake City,Utah
24-Jan-10,229,ASH2897,1,DH8A,6000,PHX,Green,NO,Phoenix,Arizona
24-Jan-10,256,SWA3141,1,B737,10000,SLC,Green,NO,Salt Lake City,Utah
24-Jan-10,309,SWA2621,1,B737,12000,BUR,Green,NO,Burbank,California
24-Jan-10,326,DAL1193,1,B738,6000,SLC,Green,NO,Salt Lake City,Utah
24-Jan-10,349,N6LR,1,C337,3000,LAX,Green,NO,Los Angeles,California
25-Jan-10,16,N39704,1,PA44,1000,DAB,Green,NO,Daytona Beach,Florida
25-Jan-10,47,COA700,1,B738,6000,EWR,Green,NO,Newark,New Jersey
25-Jan-10,145,SKW5773,1,CRJ2,5500,ICT,Green,NO,Wichita,Kansas
25-Jan-10,247,N/A,1,Vehicle,SFC,SLC,Green,NO,Salt Lake City,Utah
25-Jan-10,250,SWA1341,2,B737,10000,SLC,Green,NO,Salt Lake City,Utah
26-Jan-10,211,BTA2907,1,E145,10000,LFT,Green,NO,Lafayette,Louisiana
26-Jan-10,301,DAL65,1,B763,UNKN,LAS,Green,NO,Las Vegas,Nevada
26-Jan-10,302,FFT773,1,A319,UNKN,LAS ,Green,NO,Las Vegas,Nevada
26-Jan-10,606,SKW6650,1,E120,7000,MOD,Green,NO,Modesto,California
27-Jan-10,534,N8310J,1,C150,1300,SEA,Green,NO,Seattle,Washington
27-Jan-10,55,CHQ5065,1,E135,4000,STL,Green,NO,St. Louis,Missouri
27-Jan-10,123,BTA3156,1,E145,36000,TBD,Green,NO, Thibodaux,Louisiana
27-Jan-10,312,UAL698,1,B752,1500,IAH,Green,NO,Houston,Texas
28-Jan-10,702,CHASE5,1,B206,700,MCO,Green,NO,Orlando,Florida
28-Jan-10,223,VVTS404,1,UH60,4000,SAN,Green,NO,San Diego,California
28-Jan-10,236,NKS678,1,A319,12000,RSW,Green/ Blue,NO,Fort Myers,Florida
28-Jan-10,401,SKW6519,1,CRJ2,UNKN,SJC,Green,NO,San Jose,California
28-Jan-10,451,N6720T,1,BE76,5000,TOA,Green,NO,Torrance,California
29-Jan-10,625,HAL22,1,B763,4000,SEA,Green,NO,Seattle,Washington
29-Jan-10,705,ASA245,1,B738,9000,PDX,Green,NO,Portland,Oregon
29-Jan-10,236,SWA386,1,B733,2000,MDW,Green,NO,Chicago,Illinois
29-Jan-10,237,ASH2716,1,CRJ9,6000,TUS,Green,NO,Tucson,Arizona
29-Jan-10,249,DAL1797,1,B752,15000,TEB,Green,NO,Teterboro,New Jersey
29-Jan-10,259,AWE371,1,A320,5000,PHX,Green,NO,Phoenix,Arizona
29-Jan-10,300,SKW5978,1,E120,2000,SBA,Green,NO,Santa Barbara,California
29-Jan-10,349,SKW6565,1,CRJ7,9000,TUS,Green,NO,Tucson,Arizona
30-Jan-10,245,N942TW,1,PA12,4000,OAK,Green,NO,Oakland,California
30-Jan-10,300,SWA1164,1,B737,6000,PHX,Green,NO,Phoenix,Arizona
30-Jan-10,621,ASA570,1,B737,5000,LAX,Green,NO,Los Angeles,California
31-Jan-10,530,LN1,1,AS50,6200,BJC,Green,NO,Denver,Colorado
31-Jan-10,611,ASA540,1,B738,5000,LAX,Green,NO,Los Angeles,California
31-Jan-10,820,SURVEY1,1,HELO,5500,TUS,Green,NO,Tucson,Arizona
31-Jan-10,236,SWA263,1,B737,8000,SMO,Green,NO,Santa Monica,California
31-Jan-10,443,AAL1260,1,B752,11000,TTN,Green,NO,Trenton,New Jersey
31-Jan-10,447,SURVEY2,1,HELO,5500,TUS,Green,NO,Tucson,Arizona
01-Feb-10,159,EGF4748,1,AT72,4000,DFW,Green,NO,Dallas-Fort Worth,Texas
01-Feb-10,300,DAL133,1,B752,8500,SLC,Green,NO,Salt Lake City,Utah
01-Feb-10,312,FDX1257,1,A310,2000,MIA,Green,NO,Miami,Florida
02-Feb-10,158,BTA3105,1,E145,5000,IAH,Green,NO,Houston,Texas
02-Feb-10,159,AAL686,1,MD82,2800,DFW,Green,NO,Dallas-Fort Worth,Texas
02-Feb-10,221,DAL1226,1,MD90,10000,SLC,Green,NO,Salt Lake City,Utah
02-Feb-10,319,ASH2850,1,DH8A,6000,PHX,Green,NO,Phoenix,Arizona
02-Feb-10,347,DAL2432,1,B752,FL190,SRQ ,Green,NO,Sarasota,Florida
02-Feb-10,353,SKW6440,1,CRJ2,1400,LAX,Green,NO,Los Angeles,California
03-Feb-10,107,N17,1,C41,2500,VPS,Green,NO,Eglin AFB,Florida
03-Feb-10,457,SWA308,1,B737,5000,SJC,Green,NO,San Jose,California
03-Feb-10,430,OPT812,2,UNKN,8000,PAM,Red,NO,Panama City,Florida
04-Feb-10,205,SWA1876,1,B733,4000,AGC,Green,NO,Pittsburgh,Pennsylvania
05-Feb-10,2350,CJC297,1,DH8D,14000,ALB,Green,NO,Albany,New York
05-Feb-10,146,COA236,1,B738,14000,EBG,Green ,NO,Edinburg,Texas
05-Feb-10,227,AWE504,1,A320,8000,PHX,Green,NO,Phoenix,Arizona
06-Feb-10,315,N687AE,1,C441,1600,PHX,Green,NO,Phoenix,Arizona
07-Feb-10,525,BTA275,1,E45X,19000,CTF,Green,NO,Chesterfield  ,South Carolina
08-Feb-10,605,UAL19,1,B752,1000,SFO,Green,NO,San Francisco,California
08-Feb-10,312,SWA1995,1,B737,5000,PDX,Green,NO,Portland,Oregon
08-Feb-10,348,CTA309,1,C208,7000,LAS,Green ,NO,Las Vegas,Nevada
09-Feb-10,22,SWA402,1,B737,10000,SMF,Green,NO,Sacramento,California
10-Feb-10,200,SWA3163,1,B737,6000,HOU,Green,NO,Houston,Texas
10-Feb-10,1101,FDX1857,1,DC10,14000,OAK,Green,NO,Oakland,California
11-Feb-10,330,UPS1013,1,A306,12000,BOS,Green,NO,Boston,Massachusetts
11-Feb-10,828,TRS49,1,B737,8000,SMO,Green,NO,Santa Monica,California
11-Feb-10,353,FDX1013,1,A306,12000,BOS,Green ,NO,Boston,Massachusetts
11-Feb-10,420,N608DL,1,C172,5500,ONT,Green,NO,Ontario,California
12-Feb-10,130,EMD15,1,HELO,2400,OJC,Green,NO,Olathe,Kansas
12-Feb-10,518,ASA241,1,B737,8000,EMT,Green ,NO,El Monte,California
12-Feb-10,600,SKW6131,1,CRJ2,1700,BUR,Green,NO, Burbank,California
12-Feb-10,620,ASA1000,1,B737,3500,SEA,Green ,NO,Seattle,Washington
13-Feb-10,430,SKW33M,1,CRJ9,4000,GEG,Green ,NO,Spokane,Washington
13-Feb-10,441,METRO4,1,HELO,2000,LAS,Green ,NO,Las Vegas,Nevada
13-Feb-10,33,LOF7983,1,E145,UNKN,ORD,Green ,NO,Chicago,Illinois
13-Feb-10,33,COA246,1,B738,UNKN,ORD,Green ,NO,Chicago,Illinois
13-Feb-10,222,QXE199,1,DH8D,6000,SMO,Green ,NO,Santa Monica,California
13-Feb-10,300,SWA1342,1,B733,2500,SMO,Green ,NO,Santa Monica,California
13-Feb-10,305,N911LP,1,OH58,2000,LEX,Green ,NO,Lexington,Kentucky
13-Feb-10,435,AAL889,1,B738,5000,POM,Green ,NO,Pomona,California
14-Feb-10,527,COA996,1,B737,8000,GUM,UNKN,NO,Agana,Guam
14-Feb-10,206,RPA3264,1,E170,4500,GSO,Green,NO,Greensboro ,North Carolina
14-Feb-10,214,N145FH,1,H60,800,MCO,Green,NO,Orlando,Florida
14-Feb-10,250,RPA3126,1,E170,10000,PIT,Green,NO,Pittsburgh,Pennsylvania
15-Feb-10,105,SKW6476,1,CRJ2,10000,ORD,Green,NO,Chicago,Illinois
15-Feb-10,508,DAL747,1,B752,5000,PHX,Green,NO,Phoenix,Arizona
15-Feb-10,532,SWA1209,1,B737,4000,PHX,Green,NO,Phoenix,Arizona
15-Feb-10,511,UAL52,1,B752,8000,LGB,Green,NO,Long Beach,California
15-Feb-10,540,UAL168,1,B752,8000,BWI,Green,NO,Baltimore,Maryland
15-Feb-10,518,SKW6843,1,E120,7000,SJC,Green,NO,San Jose,California
15-Feb-10,210,SWA6834,1,CRJ7,1800,ORD,Green,NO,Chicago,Illinois
15-Feb-10,210,UAL767,1,A319,1800,ORD,Green,NO,Chicago,Illinois
15-Feb-10,210,UAL332,1,A320,1800,ORD,Green,NO,Chicago,Illinois
15-Feb-10,228,N609DA,1,SR22,800,EFD,Green,NO,Ellington Field,Texas
15-Feb-10,319,AAL1798,1,MD82,7500,SJC,Green,NO,San Jose,California
15-Feb-10,430,METRO4,1,HELO,2800,LAS,Green,NO,Las Vegas,Nevada
15-Feb-10,430,EGF3924,1,E145,2300,ORD,Green,NO,Chicago,Illinois
16-Feb-10,230,SWA229,1,B737,3000,SNA,Green ,NO,Santa Ana,California
16-Feb-10,531,COA361,1,B739,11000,SJC,Green,NO,San Jose,California
16-Feb-10,107,ASQ5513,1,CRJ2,3500,MGM,Green,NO,Montgomery,Alabama
16-Feb-10,250,ASA245,1,B738,8000,POM,Green,NO,Pomona,California
16-Feb-10,310,UPS795,1,B752,6000,SAT,White,NO,San Antonio,Texas
16-Feb-10,409,JENA55,1,C182,4000,HWD,Green,NO,Hayward,California
17-Feb-10,524,QXE545,1,CRJ7,5500,SJC,Green,NO,San Jose,California
17-Feb-10,603,JBU828,2,A320,3000,SNA,Green,NO,Santa Ana,California
17-Feb-10,200,SWA1491,1,B735,1500,FLL,Green/White,NO,Fort Lauderdale,Florida
17-Feb-10,229,JENA55,1,C182,4000,HWD,Green,NO,Hayward,California
17-Feb-10,221,PMS1675,1,C208,2500,ICT,Green,NO,Wichita,Kansas
17-Feb-10,417,FDX1338,1,B722,3000,MEM,Green,NO,Memphis,Tennessee
17-Feb-10,430,SKW6048,1,CRJ2,3000,M30,Green,NO,Metropolis,Illinois
18-Feb-10,21,CJC9551,1,SF34,3000,TYR,Green,NO,Tyler,Texas
18-Feb-10,450,SWA2889,1,B737,4500,SAN,Green,NO,San Diego,California
18-Feb-10,620,UAL423,1,B772,1000,SFO,Green,NO,San Francisco,California
18-Feb-10,215,N965DS,1,DA40,3500,PHX,UNKN,NO,Phoenix,Arizona
18-Feb-10,330,RUF640,1,MU2,4000,MSY,Green,NO,New Orleans ,Louisiana
19-Feb-10,539,IFL1015,1,FA20,6000,SDF,Green ,NO,Louisville,Kentucky
19-Feb-10,450,ASA329,1,B737,UNKN,OLM,Green,NO,Olympia,Washington
19-Feb-10,6,JBU403,1,A320,3800,MIA,Green,NO,Miami,Florida
19-Feb-10,136,COA331,1,B738,1000,IAH,Green,NO,Houston,Texas
19-Feb-10,303,BTA2732,1,E45X,13000,IAH,Green,NO,Houston,Texas
20-Feb-10,220,N521PF,1,C525,3000,LAS,Green,NO,Las Vegas,Nevada
20-Feb-10,223,N424QS,1,GLF4,4000,LAS,Green ,NO,Las Vegas,Nevada
20-Feb-10,405,AWE575,1,A321,UNKN,SEA,Green,NO,Seattle,Washington
21-Feb-10,250,DAL1489,1,MD88,700,MCO,Green,NO,Orlando,Florida
21-Feb-10,5,VVLT624,1,P3,6000,JAX,Green,NO,Jacksonville,Florida
22-Feb-10,2307,N3188X,1,H25B,4000,BDR,Green,NO,Bridgeport,Connecticut
22-Feb-10,150,BSO6,1,EC135,500,FLL,Green ,NO,Fort Lauderdale,Florida
23-Feb-10,435,QXE399,1,DH8D,8000,BOI,Green,NO,Boise,Idaho
23-Feb-10,113,N82222,1,R22,1500,LZU,Green,NO,Lawrenceville,Georgia
23-Feb-10,139,ASH2829,1,CRJ2,7000,PHX,Green,NO,Phoenix,Arizona
23-Feb-10,143,C2128,1,FA20,1500,HST,Green,NO,Homestead,Florida
24-Feb-10,500,EGF3048,1,E135,7000,SAN,Green,NO,San Diego,California
24-Feb-10,525,SGB700,1,B732,2000,MIA,Green ,NO,Miami,Florida
24-Feb-10,536,ASA706,1,B738,5000,SMO,Green,NO,Santa Monica,California
24-Feb-10,709,USC721,1,BE58,4000,ONT,Green,NO,Ontario,California
24-Feb-10,324,ASQ303A,1,CRJ2,5000,GRK,Green,NO,"Fort Hood, Killeen",Texas
25-Feb-10,37,ASQ5152,1,CRJ2,4000,IRQ,Green,NO,Colliers ,South Carolina
25-Feb-10,2357,C2102,1,HU25,UNKN,HST,Green,NO,Homestead,Florida
26-Feb-10,320,FFT268,1,A318,2000,SNA,Green,NO,Santa Ana,California
26-Feb-10,445,METRO5,1,UH60,2500,LAS,Green,NO,Las Vegas,Nevada
26-Feb-10,705,QXE623,1,CRJ7,6000,SBD,Green,NO,San Bernardino,California
26-Feb-10,100,TRANS FLIGHT4455,1,UNKN,4500,PHX,Green,NO,Phoenix,Arizona
26-Feb-10,315,EGF3131,1,E135,4000,SJC,Green,NO,San Jose,California
26-Feb-10,359,SWA203,1,B737,1000,SMO,Green,NO,Santa Monica,California
26-Feb-10,321,AWI3572,1,CRJ7,1600,CHS,Green,NO,Charleston,South Carolina
26-Feb-10,415,SQH22,1,PC12,6000,PDX,Green,NO,Portland,Oregon
27-Feb-10,455,SWA1504,1,B737,6000,PHX,Green,NO,Phoenix,Arizona
27-Feb-10,500,SWA460,1,B737,15000,PHX,Green,NO,Phoenix,Arizona
27-Feb-10,1017,N407FC,1,26VA,1500,DCA,Green,NO,Washington,District of Columbia
27-Feb-10,226,N95UT,1,BE20,6500,SLC,Green,NO,Salt Lake City,Utah
27-Feb-10,405,QXE91,1,DH80,3000,PDX,Green,NO,Portland,Oregon
27-Feb-10,1015,FAIRFAX1,1,HELO,1500,DCA,Green,NO,Washington,District of Columbia
28-Feb-10,228,SKW6106,1,CRJ7,1400,PDX,Green,NO,Portland,Oregon
28-Feb-10,423,HAL20,1,B763,"10,000",SUU,Green,NO,Vacaville,California
28-Feb-10,418,SKW6337,1,CRJ7,7000,SFO,Green,NO,San Francisco,California
28-Feb-10,440,SWA1194,1,B737,2000,PVD,Green ,NO,Providence,Rhode Island
28-Feb-10,415,BTA2131,1,E45X,2000,CRP,Green,NO,Corpus Christi,Texas
01-Mar-10,446,N66684,1,C172,2000,CCR,Green,NO,Concord,California
01-Mar-10,515,QXE518,1,CRJ7,3500,PDX,Green,NO,Portland,Oregon
01-Mar-10,540,QXE114,1,DH8,UNKN,SEA,Green,NO,Seattle,Washington
01-Mar-10,2330,LXJ151,1,BE40,3000,FTY,Green,NO,Atlanta,Georgia
01-Mar-10,149,SWA1600,1,B737,2500,MCI,Green,NO,Kansas City,Missouri
01-Mar-10,205,MADFOX9,1,P3,1300,HST,Green,NO,Homestead,Florida
01-Mar-10,245,SWA426,1,B737,4000,FLL,Red,NO,Fort Lauderdale,Florida
02-Mar-10,540,AAY386,1,MD88,5000,LAX,Green,NO,Los Angeles,California
04-Mar-10,25,LOF8022,1,E145,FL240,EKN,Green,NO,Elkins,West Virginia
04-Mar-10,405,SKW6342,1,E120,6000,LAX,Green,NO,Los Angeles,California
04-Mar-10,723,SMOKEY3,1,C182,2500,TCM,Green,NO,Tacoma,Washington
04-Mar-10,1000,FDX1155,1,A306,3000,IAH,White,NO,Houston,Texas
04-Mar-10,405,N41VP,1,C560,6000,APC,Green,NO,Napa,California
05-Mar-10,505,FLC67,1,BE30,2300,ORD,Green,NO,Chicago,Illinois
05-Mar-10,312,SKW6341,1,CRJ2,5000,SAN,Green,NO,San Diego,California
05-Mar-10,625,ASH2817,1,CRJ9,8000,PHX,Green,NO,Phoenix,Arizona
05-Mar-10,700,ASA245,1,B738,8000,PDX,Green,NO,Portland,Oregon
05-Mar-10,40,SWA870,1,B733,11000,HTO,Green,NO,East Hampton,New York
05-Mar-10,228,SWA182,1,B737,7000,SJC,Green,NO,San Jose,California
05-Mar-10,256,SKW5917,1,CRJ2,9000,DEN,Green,NO,Denver,Colorado
06-Mar-10,605,SWA4601,1,B737,14000,SFO,Green,NO,San Francisco,California
06-Mar-10,738,UAL787,1,A319,7000,SAN,Green,NO,San Diego,California
06-Mar-10,246,ASQ5208,1,CRJ7,FL250,APE,Green,NO,Appleton,Ohio
06-Mar-10,323,FLG3887,1,CRJ2,1700,DAL,Blue,NO,Dallas,Texas
06-Mar-10,2342,DAL1018,1,MD90,UNKN,PHL,Green,NO,Philadelphia,Pennsylvania
07-Mar-10,615,N80347,1,C172,1800,VUO,Green,NO,Vancouver,Washington
07-Mar-10,3,EJA984,1,C750,1000,PNE,Green,NO,Philadelphia,Pennsylvania
08-Mar-10,216,SKW6834,1,CRJ7,11000,ORD,Green ,NO,Chicago,Illinois
09-Mar-10,55,CJT916,1,B722,7000,CVG,Green,NO,Covington,Kentucky
09-Mar-10,148,BTA2539,1,E45X,7000,IAH,Green,NO,Houston,Texas
09-Mar-10,218,AAL324,1,MD83,9200,TTT,Green,NO,Talleyville,Texas
09-Mar-10,2035,BTA2481,1,E145,11000,RKP,Green,NO,Rockport,Texas
10-Mar-10,450,FDX1635,1,A306,FL200,TTT,Green,NO,Talleyville,Texas
10-Mar-10,503,SKW6092,1,E120,5000,SMF,Green,NO,Sacramento,California
10-Mar-10,505,AWE406,1,A321,7500,SFO,Green,NO,San Francisco,California
10-Mar-10,100,N3512T,1,C172,3500,CTY,Green,NO,Cross City,Florida
10-Mar-10,330,JBU1404,1,E190,UNKN,AUS,Green,NO,Austin,Texas
10-Mar-10,330,SWA682,1,B737,UNKN,AUS,Green,NO,Austin,Texas
10-Mar-10,2350,COA418,1,UNKN,1000,POS,Green,NO,Coeur d'Alene,Idaho
11-Mar-10,510,QXE545,1,CRJ7,6000,SJC,Green,NO,San Jose,California
11-Mar-10,119,AWI3656,1,CRJ2,1900,PVD,Green,NO,Providence,Rhode Island
11-Mar-10,342,AAY5115,1,MD87,5000,SAN,Green ,NO,San Diego,California
11-Mar-10,418,KING21,1,C130,UNKN,NUQ,Green,NO,Mountain View,California
11-Mar-10,342,VVTS414,1,H60,4000,SAN,Green,NO,San Diego,California
12-Mar-10,2150,CM17,1,B738,UNKN,GUM,Green,NO,Agana,Guam
12-Mar-10,310,DAL1128,1,MD88,6500,ATL,Green,NO,Atlanta,Georgia
12-Mar-10,344,GLA121,1,E120,10000,DEN,Green,NO,Denver,Colorado
12-Mar-10,435,SWA401,1,B737,16000,AUS,Green,NO,Austin,Texas
