game_id,player_id,seat_location,season
5635,11367,right,33
5635,11368,middle,33
5635,11363,returning_champ,33
5634,11365,right,33
5634,11366,middle,33
5634,11363,returning_champ,33
5633,11363,right,33
5633,11364,middle,33
5633,11359,returning_champ,33
5631,11359,right,33
5631,11360,middle,33
5631,11340,returning_champ,33
5630,11357,right,33
5630,11358,middle,33
5630,11340,returning_champ,33
5629,11355,right,33
5629,11356,middle,33
5629,11340,returning_champ,33
5628,11353,right,33
5628,11354,middle,33
5628,11340,returning_champ,33
5627,11351,right,33
5627,11352,middle,33
5627,11340,returning_champ,33
5621,11338,right,33
5621,11339,middle,33
5621,11340,returning_champ,33
5626,11340,right,33
5626,11350,middle,33
5626,11333,returning_champ,33
5618,11332,right,33
5618,11333,middle,33
5618,11329,returning_champ,33
5616,11328,right,33
5616,11329,middle,33
5616,11327,returning_champ,33
5615,11326,right,33
5615,11327,middle,33
5615,11320,returning_champ,33
5611,11318,right,33
5611,11319,middle,33
5611,11320,returning_champ,33
5614,11325,right,33
5614,11320,middle,33
5614,11312,returning_champ,33
5609,11314,right,33
5609,11315,middle,33
5609,11312,returning_champ,33
5608,11312,right,33
5608,11313,middle,33
5608,11310,returning_champ,33
5607,11310,right,33
5607,11311,middle,33
5607,11303,returning_champ,33
5602,11301,right,33
5602,11302,middle,33
5602,11303,returning_champ,33
5606,11309,right,33
5606,11303,middle,33
5606,11297,returning_champ,33
5600,11297,right,33
5600,11298,middle,33
5600,11296,returning_champ,33
5599,11295,right,33
5599,11296,middle,33
5599,11293,returning_champ,33
5598,11293,right,33
5598,11294,middle,33
5598,11286,returning_champ,33
5595,11287,right,33
5595,11288,middle,33
5595,11286,returning_champ,33
5594,11285,right,33
5594,11286,middle,33
5594,11277,returning_champ,33
5591,11279,right,33
5591,11280,middle,33
5591,11277,returning_champ,33
5590,11277,right,33
5590,11275,middle,33
5590,11259,returning_champ,33
5589,11276,right,33
5589,11278,middle,33
5589,11259,returning_champ,33
5581,11258,right,33
5581,11259,middle,33
5581,11260,returning_champ,33
5583,11263,right,33
5583,11260,middle,33
5583,11240,returning_champ,33
5573,11240,right,33
5573,11241,middle,33
5573,11242,returning_champ,33
5577,11242,right,33
5577,11250,middle,33
5577,11232,returning_champ,33
5576,11248,right,33
5576,11249,middle,33
5576,11232,returning_champ,33
5569,11232,right,33
5569,11233,middle,33
5569,11226,returning_champ,33
5575,11246,right,33
5575,11247,middle,33
5575,11226,returning_champ,33
5566,11225,right,33
5566,11226,middle,33
5566,11198,returning_champ,33
5565,11222,right,33
5565,11224,middle,33
5565,11198,returning_champ,33
5558,11210,right,33
5558,11211,middle,33
5558,11198,returning_champ,33
5553,11198,right,33
5553,11199,middle,33
5553,11200,returning_champ,33
5557,11208,right,33
5557,11209,middle,33
5557,11200,returning_champ,33
5564,11200,right,33
5564,11223,middle,33
5564,11218,returning_champ,33
5563,11220,right,33
5563,11221,middle,33
5563,11218,returning_champ,33
5562,11218,right,33
5562,11219,middle,33
5562,11187,returning_champ,33
5548,11187,right,33
5548,11188,middle,33
5548,11189,returning_champ,33
5550,11192,right,33
5550,11189,middle,33
5550,11167,returning_champ,33
5561,11216,right,33
5561,11217,middle,33
5561,11167,returning_champ,33
5560,11214,right,33
5560,11215,middle,33
5560,11167,returning_champ,33
5559,11212,right,33
5559,11213,middle,33
5559,11167,returning_champ,33
5539,11166,right,33
5539,11167,middle,33
5539,11131,returning_champ,33
5545,11180,right,33
5545,11181,middle,33
5545,11131,returning_champ,33
5533,11138,right,33
5533,11152,middle,33
5533,11142,returning_champ,33
5532,11138,right,33
5532,11152,middle,33
5532,11142,returning_champ,33
5531,11144,right,33
5531,11140,middle,33
5531,11152,returning_champ,33
5530,11143,right,33
5530,11150,middle,33
5530,11138,returning_champ,33
5529,11145,right,33
5529,11142,middle,33
5529,11153,returning_champ,33
5527,11152,right,33
5527,11153,middle,33
5527,11154,returning_champ,33
5526,11149,right,33
5526,11150,middle,33
5526,11151,returning_champ,33
5524,11143,right,33
5524,11144,middle,33
5524,11145,returning_champ,33
5522,11137,right,33
5522,11138,middle,33
5522,11139,returning_champ,33
5523,11140,right,33
5523,11141,middle,33
5523,11142,returning_champ,33
5521,11135,right,33
5521,11136,middle,33
5521,11131,returning_champ,33
5520,11133,right,33
5520,11134,middle,33
5520,11131,returning_champ,33
5519,11131,right,33
5519,11132,middle,33
5519,11128,returning_champ,33
5517,11127,right,33
5517,11128,middle,33
5517,11129,returning_champ,33
5518,11130,right,33
5518,11129,middle,33
5518,11116,returning_champ,33
5516,11125,right,33
5516,11126,middle,33
5516,11116,returning_champ,33
5515,11123,right,33
5515,11124,middle,33
5515,11116,returning_champ,33
5514,11121,right,33
5514,11122,middle,33
5514,11116,returning_champ,33
5512,11117,right,33
5512,11118,middle,33
5512,11116,returning_champ,33
5513,11119,right,33
5513,11120,middle,33
5513,11116,returning_champ,33
5535,11160,right,33
5535,11116,middle,33
5535,11159,returning_champ,33
5534,11158,right,33
5534,11159,middle,33
5534,11112,returning_champ,33
5511,11114,right,33
5511,11115,middle,33
5511,11112,returning_champ,33
5510,11112,right,33
5510,11113,middle,33
5510,11111,returning_champ,33
5509,11110,right,33
5509,11111,middle,33
5509,11106,returning_champ,33
5508,11108,right,33
5508,11109,middle,33
5508,11106,returning_champ,33
5507,11106,right,33
5507,11107,middle,33
5507,11101,returning_champ,33
5506,11104,right,33
5506,11105,middle,33
5506,11101,returning_champ,33
5505,11102,right,33
5505,11103,middle,33
5505,11101,returning_champ,33
5504,11100,right,33
5504,11101,middle,33
5504,11099,returning_champ,33
5503,11098,right,33
5503,11099,middle,33
5503,11093,returning_champ,33
5501,11093,right,33
5501,11094,middle,33
5501,11092,returning_champ,33
5500,11091,right,33
5500,11092,middle,33
5500,11090,returning_champ,33
5499,11089,right,33
5499,11090,middle,33
5499,11088,returning_champ,33
5498,11087,right,33
5498,11088,middle,33
5498,11084,returning_champ,33
5497,11085,right,33
5497,11086,middle,33
5497,11084,returning_champ,33
5496,11083,right,33
5496,11084,middle,33
5496,11079,returning_champ,33
5495,11081,right,33
5495,11082,middle,33
5495,11079,returning_champ,33
5494,11079,right,33
5494,11080,middle,33
5494,11078,returning_champ,33
5493,11077,right,33
5493,11078,middle,33
5493,11074,returning_champ,33
5492,11075,right,33
5492,11076,middle,33
5492,11074,returning_champ,33
5491,11073,right,33
5491,11074,middle,33
5491,11071,returning_champ,33
5490,11071,right,33
5490,11072,middle,33
5490,11067,returning_champ,33
5489,11069,right,33
5489,11070,middle,33
5489,11067,returning_champ,33
5488,11067,right,33
5488,11068,middle,33
5488,11045,returning_champ,33
5487,11065,right,33
5487,11066,middle,33
5487,11045,returning_champ,33
5477,11046,right,33
5477,11047,middle,33
5477,11045,returning_champ,33
5476,11044,right,33
5476,11045,middle,33
5476,11032,returning_champ,33
5475,11042,right,33
5475,11043,middle,33
5475,11032,returning_champ,33
5474,11040,right,33
5474,11041,middle,33
5474,11032,returning_champ,33
5473,11038,right,33
5473,11039,middle,33
5473,11032,returning_champ,33
5472,11036,right,33
5472,11037,middle,33
5472,11032,returning_champ,33
5471,11034,right,33
5471,11035,middle,33
5471,11032,returning_champ,33
5470,11032,right,33
5470,11033,middle,33
5470,11031,returning_champ,33
5486,11063,right,33
5486,11064,middle,33
5486,11031,returning_champ,33
5485,11061,right,33
5485,11062,middle,33
5485,11031,returning_champ,33
5484,11059,right,33
5484,11060,middle,33
